"zone","truedate","mean_pai","se_pai","mean_pai_toc","se_pai_toc","mean_pai_us","se_pai_us","mean_modis_lai","se_modis_lai","mean_meanpavd","se_meanpavd","mean_sdvfp","se_sdvfp","mean_nirv","se_nirv","mean_fpar","se_fpar","mean_apar","se_apar","mean_sif743","se_sif743","mean_sif743_cor","se_sif743_cor","mean_sif_par","se_sif_par","mean_sifs_par","se_sifs_par","mean_sif_parm","se_sif_parm","mean_sifs_parm","se_sifs_parm","mean_sif_apar","se_sif_apar","mean_phif","se_phif","mean_phifm","se_phifm","mean_fesc","se_fesc","mean_pri_nar","se_pri_nar","mean_cci","se_cci","mean_sif_rel_tropo","se_sif_rel_tropo","mean_ndvi_tropo","se_ndvi_tropo","mean_nirv_tropo_refl","se_nirv_tropo_refl","mean_nirv_tropo_rad","se_nirv_tropo_rad","mean_phifm_tropo_rad","se_phifm_tropo_rad","mean_phifm_tropo_refl","se_phifm_tropo_refl","mean_phif_tropo_refl","se_phif_tropo_refl","mean_fesc_tropo_rad","se_fesc_tropo_rad","mean_fesc_tropo_refl","se_fesc_tropo_refl","mean_sif_fesc_mod","se_sif_fesc_mod","mean_sif_fesc_tr","se_sif_fesc_tr","mean_iprec","se_iprec","mean_vpd","se_vpd","doymin","nsif","npai","nsifparm","year"
"all",2019-01-01,NA,NA,NA,NA,NA,NA,5.46041607928064,0.00435594658059736,NA,NA,NA,NA,0.277018029620152,0.000129988780118387,0.85482923777269,0.000268764601398961,139452.843468167,127.827618198935,1.42505412204882,0.0013866792751178,0.497202616542407,0.000506069804114423,3.18419414922202e-06,3.15110912233987e-09,9.14347786598631e-06,8.81978680383173e-09,6.97660848254385e-07,7.23643353742755e-10,2.00151952459e-06,2.00828284214704e-09,3.41336379807808e-06,6.66130342148233e-09,1.11803816567256e-05,1.46752306815715e-08,2.37970083378497e-06,3.16018906724783e-09,0.312155191014412,0.000237256869084742,-0.0867549704347894,4.80721131937815e-05,0.181853675732024,0.000209347035816387,0.00457576103667584,4.07229565511367e-06,0.504149593325323,0.000436550891818462,0.161228170040191,0.000148811301548555,54.1734125989033,0.0495868907317633,1.35100443429031e-08,1.43024780463127e-11,4.5570781938333e-06,4.93779283801388e-09,2.07920968323559e-05,2.1355098247808e-08,61.0758419902148,0.100623653825786,0.182557284521577,0.000295242387591227,1.46673131455933,0.0028472881884258,2.63625402607771,0.00460546043210812,132.377034043304,0.192737873069109,2.44827175817556,0.000639871887454922,1,142228,0,142228,"2019"
"all",2019-01-17,NA,NA,NA,NA,NA,NA,5.3100250912842,0.0059307485442611,NA,NA,NA,NA,0.27865638952382,0.000142901953386458,0.838992614874309,0.000383245956419048,151526.958540732,192.671198154994,1.46011363036307,0.00132507792523668,0.504718524355922,0.000473548571064599,3.18295438657541e-06,3.31192669816009e-09,9.22428584259643e-06,9.47662418993145e-09,6.97597769231688e-07,6.84852803703748e-10,2.01983932493841e-06,1.93869519737319e-09,3.39954090989673e-06,7.53676537344299e-09,1.06965724922072e-05,1.62062864501335e-08,2.35608690903462e-06,3.17407727311375e-09,0.323278352299953,0.000295666849385825,-0.0882263696568009,5.0243809139122e-05,0.172639423001652,0.00022932096229712,0.00445757224900761,3.64756710405566e-06,0.463676220193005,0.000296729685245863,0.150770618269133,0.000106453430728633,51.8650314268754,0.0356506207852027,1.37190706551185e-08,1.31002372170473e-11,4.73780619207635e-06,4.61883246339812e-09,2.16857829814409e-05,2.25978495122433e-08,63.162780966226,0.0926746810896014,0.183797872512017,0.000268317292275959,1.52221039212868,0.00297685621099661,2.72622109129457,0.00472805671253844,124.360217292643,0.174116498824441,2.45957837825378,0.000652129710590694,17,145407,0,145407,"2019"
"all",2019-02-02,NA,NA,NA,NA,NA,NA,5.12860586429318,0.00638440967225648,NA,NA,NA,NA,0.277874106803454,0.000152399616760734,0.827557232683423,0.000410186146432375,147687.500763582,146.339044935717,1.48662085512895,0.00142934890723688,0.509839362060882,0.000504181252306819,3.02926844817087e-06,2.97728162396146e-09,8.84439926127022e-06,8.56031123545467e-09,6.9933452932942e-07,7.22488141687329e-10,2.04022954368347e-06,2.0640740513226e-09,3.3814117766908e-06,7.07177452959672e-09,1.05386953632824e-05,1.53915662183208e-08,2.3793843105738e-06,3.45907153188992e-09,0.323755956129965,0.000321801913724957,-0.0856954957826,5.57068219128322e-05,0.172051687080894,0.00025124395571111,0.0044060423569574,3.8602007698473e-06,0.458183151088021,0.000310792353777399,0.149643698089393,0.000110168322146094,52.3671227643686,0.0368304705357416,1.36140639775724e-08,1.36693882062989e-11,4.79050420440612e-06,4.92955141022473e-09,2.08000471742386e-05,2.06388802338619e-08,65.529985317551,0.09067095859909,0.188086384891096,0.000266265570706351,1.51240208097678,0.00334826613231472,2.6463869999407,0.00498211455425694,133.531186128231,0.190895988829197,2.45675133529931,0.000646967138158259,33,132273,0,132273,"2019"
"all",2019-02-18,NA,NA,NA,NA,NA,NA,5.48823883439278,0.00488982353764146,NA,NA,NA,NA,0.263328951084105,0.000128683933849296,0.845261618395699,0.000318194175610936,172023.56646264,148.919051344805,1.36167178324793,0.00134312596697399,0.465545372715281,0.000469849468742344,2.56491796178043e-06,3.00993653063324e-09,7.49701330715736e-06,8.62298245370518e-09,6.25845864006188e-07,7.20542323219657e-10,1.82926854613716e-06,2.06050413808723e-09,2.56916430686041e-06,5.33196473983642e-09,8.4795490673726e-06,1.25560434114294e-08,2.03753617657068e-06,2.88320485406655e-09,0.301328763381909,0.000223995894381519,-0.0798842399168084,5.4566066447855e-05,0.154339653732012,0.00020770863202035,0.00402514079613585,3.4832035090105e-06,0.499040903956075,0.00042049333185432,0.161189077977114,0.000137643938220522,56.5479341434235,0.0471381714665205,1.1597186497107e-08,1.35906625406411e-11,4.09019580560654e-06,4.88856284829245e-09,1.66936590132134e-05,1.99466106838924e-08,68.1436534118527,0.0967581889094998,0.19492885375926,0.000282051868233663,1.36957396708896,0.00232559509381805,2.28333694424657,0.00406635034601031,115.572621791996,0.214231052752516,2.46533290390711,0.000636915672842719,49,147482,0,147482,"2019"
"all",2019-03-06,NA,NA,NA,NA,NA,NA,5.36051899787163,0.00427300564413395,NA,NA,NA,NA,0.268925688518883,0.000124645931368645,0.841427541917413,0.000262046957276408,156893.22728271,103.796022539004,1.37252737674466,0.0013508573015698,0.46946604472589,0.000467892837768708,2.55659481544462e-06,2.63112091428609e-09,7.47653187838455e-06,7.61997030208384e-09,6.14197318178998e-07,6.65061662309521e-10,1.79520407268767e-06,1.9205151121781e-09,2.86588161085217e-06,4.894110459793e-09,9.12343285237887e-06,1.21929121762011e-08,2.09625832358608e-06,2.9498036381841e-09,0.310862086631992,0.00019241738348139,-0.0828914659719994,4.34784488806707e-05,0.154675231455264,0.000213420894225676,0.00407026975401145,3.72756914623928e-06,0.442935687238686,0.000277238771786967,0.145304836050204,9.82625164708349e-05,50.4827562237782,0.0317734211980342,1.23001838261963e-08,1.2973973885077e-11,4.29920550686586e-06,4.63564474961161e-09,1.78887621729258e-05,1.7785757675725e-08,59.2887755916688,0.0601119639944904,0.170446771512783,0.00018545659596798,1.40846586762936,0.00251465283687192,2.63877117104096,0.00405817765803853,125.532164016047,0.175441813348513,2.43684584561527,0.00061832699520184,65,146384,0,146384,"2019"
"all",2019-03-22,NA,NA,NA,NA,NA,NA,5.67455856624615,0.00403202368671527,NA,NA,NA,NA,0.264642694742054,0.000115267805415278,0.858882993082733,0.000241663044679425,161220.811682325,127.640294840818,1.32068154388596,0.00127272802796101,0.455060524848579,0.000445106408429122,2.52526183921063e-06,2.80139641914243e-09,7.32737030740836e-06,8.02847291222944e-09,6.20354055337186e-07,6.64473444187752e-10,1.80013924326053e-06,1.90316588243424e-09,2.71830565484064e-06,4.94404273101449e-09,9.03131353898274e-06,1.33046563595719e-08,2.1764711260213e-06,3.08757318528517e-09,0.301591453108622,0.000160656076813342,-0.0800201132643279,4.80659178445097e-05,0.160280540529757,0.000202950451629687,0.00415155784887003,3.73612768198125e-06,0.454689325582098,0.000303189974405941,0.146199905290912,0.000101184572303802,49.1737706255398,0.0310938152840616,1.27987106371811e-08,1.35444243043238e-11,4.33192768181133e-06,4.66017505899637e-09,1.75756993333577e-05,1.88287070320389e-08,56.9759554263788,0.0585675351416084,0.169517773233114,0.000192048979913,1.38242016904483,0.00245089734345785,2.55791049971898,0.00401691001620088,133.381315723844,0.202988224430198,2.44407497177198,0.000694770123763269,81,140298,0,140298,"2019"
"all",2019-04-07,4.14112886331849,0.0761754676633758,1.40452636367941,0.0760318572875047,2.5730063147464,0.0411768571488171,5.50669636092374,0.0038153480870604,0.0309527530571667,0.000620090770989859,0.0608133688190226,0.00129202293545854,0.263876360828891,9.87913126632868e-05,0.857010945115482,0.000218800373604909,157160.208810122,112.061183468464,1.18266124947405,0.00109112694843998,0.408458924499126,0.000379979950110107,2.41285526544551e-06,2.47215416544073e-09,6.98385745453303e-06,7.08427900519536e-09,5.71871942602271e-07,5.5881863698681e-10,1.6555162257441e-06,1.60237477732373e-09,2.54341012106501e-06,4.2150670196845e-09,8.56197701569755e-06,1.10621303134409e-08,2.07737942764887e-06,2.60762646574015e-09,0.303678153319362,0.00013752613216599,-0.0861496754305584,4.29640421513424e-05,0.165350322717655,0.000186094757251088,0.00398729412835157,3.53365147865656e-06,0.520353518095965,0.000458487186305735,0.16315274864573,0.000143017275834454,52.8094091162398,0.0471381179561577,1.15899973501106e-08,1.32693941698098e-11,3.77078180411382e-06,4.4953871788574e-09,1.58892033936923e-05,1.93795910384495e-08,61.3615673476938,0.0835696267810486,0.193096783923648,0.00025453102327088,1.28487586426002,0.0020717261096788,2.15206337211054,0.00372938479397046,142.402805703677,0.205250126225743,2.45233195832998,0.000767146284854997,97,149908,59,149908,"2019"
"all",2019-04-23,4.16126703207766,0.0250762690411031,1.52271728851457,0.0215353839271578,2.44897867405592,0.0153970982076328,5.5443051704522,0.0026602377420322,0.0285928534825717,0.000191316008625405,0.0564496074996234,0.000392198015925842,0.258329894992437,7.62618239960415e-05,0.864013941537138,0.000154866365754153,146706.780938719,72.0874649757923,1.25175285063984,0.000988303493507888,0.432734267816117,0.000345787557942578,2.5866985079826e-06,2.22474421758445e-09,7.48051147258267e-06,6.35406200543681e-09,6.00092573371496e-07,4.99367973676223e-10,1.73599750652645e-06,1.429933051411e-09,2.93602301676659e-06,3.38221043167699e-09,9.9354310231817e-06,9.2139150621822e-09,2.26104665744152e-06,2.04595616840065e-09,0.296498365408541,9.55917421904695e-05,-0.0870774996666454,3.07912470394725e-05,0.17127803569781,0.000148418634927656,0.00451050035283302,3.4406477093798e-06,0.469648328198685,0.000265303678844382,0.143744969224293,7.87363816657776e-05,44.6431138132321,0.0228551717985118,1.36747015273821e-08,1.19696025840695e-11,4.28068188222253e-06,3.95124793995124e-09,1.83825800401359e-05,1.66297583080798e-08,51.762963984834,0.0346838352589018,0.16902744487743,0.000120461558988272,1.42856209075096,0.00154525259894913,2.5570091234732,0.00287094233996897,134.83502125189,0.170230880965857,2.43728870843442,0.00063625418717075,113,162557,603,162557,"2019"
"all",2019-05-09,4.17153382366118,0.0310287309930601,1.55820077973539,0.0291735114588552,2.42877174363188,0.0155793766817344,5.31657124403998,0.00387721951916207,0.0280670181559601,0.000213738824735419,0.0553077125122123,0.000432464780530421,0.252538967144994,9.95626817919501e-05,0.859810246195517,0.000223029761083256,159673.541023069,118.458033448687,1.16716295182115,0.00117028966662633,0.402289073654947,0.000407409376780026,2.51875705624497e-06,2.99843545487914e-09,7.29658425993957e-06,8.54728340571148e-09,6.05741449783907e-07,6.45876187685963e-10,1.75716248218647e-06,1.85532757762049e-09,2.52022667721272e-06,4.53379349155124e-09,8.95510003656888e-06,1.35416143800317e-08,2.27653926847303e-06,2.97153552105447e-09,0.289703934098257,0.000112096810705313,-0.089454498413365,3.95188544044893e-05,0.158000211123017,0.000218003875365152,0.00442095283472751,4.35896151761207e-06,0.498310054566518,0.000426345750415317,0.150156505041074,0.000123702976539506,44.9254727672987,0.0375953694800472,1.4035934833379e-08,1.63302045259167e-11,4.2377664967168e-06,5.21983451912586e-09,1.76266702142557e-05,2.33890047823926e-08,51.3279739615678,0.0527921626428625,0.178127632496285,0.000185385302390695,1.31941149043516,0.00199116781608464,2.24863612667501,0.00367907406006707,147.136178251052,0.285620307839345,2.50475113183151,0.000859024283611278,129,129082,368,129082,"2019"
"all",2019-05-25,4.19642628593316,0.0231366774012628,1.49261864410767,0.0220396876406369,2.50794941081793,0.0132856238581244,5.31440844500857,0.00292151086051291,0.0291079496394812,0.000189327572889243,0.0571579161115547,0.000374487437101805,0.252166456255134,8.76258505387369e-05,0.862085705733706,0.000187763355346831,159861.066327157,93.3810597318883,1.25565424554804,0.00109859909350769,0.431727177274068,0.000382581573023624,2.52624754238815e-06,2.69907172525459e-09,7.33481959793803e-06,7.65980399347965e-09,6.10147217862171e-07,5.61632257345893e-10,1.77376152935933e-06,1.60702107051752e-09,2.70248171841631e-06,4.00445770877625e-09,9.63750162245467e-06,1.15285292794157e-08,2.34010048038594e-06,2.41124986532739e-09,0.288438385813752,0.000108858987327557,-0.0883975002372887,3.60007168049002e-05,0.166187626343595,0.000197798558354886,0.00489267884690024,4.16901351120345e-06,0.484517903108906,0.000312145361421985,0.145484808026331,8.80938029007043e-05,42.3027773076453,0.0238559631756754,1.47107471929168e-08,1.43650719636395e-11,4.32962878952552e-06,4.56104442345781e-09,1.79135681123534e-05,2.10457888422687e-08,49.0543869839713,0.0366813780750636,0.173721328767525,0.00013686500417242,1.44835693833251,0.001822698393347,2.47275111129,0.00334320492054521,113.591840926858,0.240359200345823,2.63738250924965,0.000969419809323049,145,138573,482,138573,"2019"
