"zone","truedate","mean_pai","se_pai","mean_pai_toc","se_pai_toc","mean_pai_us","se_pai_us","mean_modis_lai","se_modis_lai","mean_meanpavd","se_meanpavd","mean_sdvfp","se_sdvfp","mean_nirv","se_nirv","mean_fpar","se_fpar","mean_apar","se_apar","mean_sif743","se_sif743","mean_sif743_cor","se_sif743_cor","mean_sif_par","se_sif_par","mean_sifs_par","se_sifs_par","mean_sif_parm","se_sif_parm","mean_sifs_parm","se_sifs_parm","mean_sif_apar","se_sif_apar","mean_phif","se_phif","mean_phifm","se_phifm","mean_fesc","se_fesc","mean_pri_nar","se_pri_nar","mean_cci","se_cci","mean_sif_rel_tropo","se_sif_rel_tropo","mean_ndvi_tropo","se_ndvi_tropo","mean_nirv_tropo_refl","se_nirv_tropo_refl","mean_nirv_tropo_rad","se_nirv_tropo_rad","mean_phifm_tropo_rad","se_phifm_tropo_rad","mean_phifm_tropo_refl","se_phifm_tropo_refl","mean_phif_tropo_refl","se_phif_tropo_refl","mean_fesc_tropo_rad","se_fesc_tropo_rad","mean_fesc_tropo_refl","se_fesc_tropo_refl","mean_sif_fesc_mod","se_sif_fesc_mod","mean_sif_fesc_tr","se_sif_fesc_tr","mean_iprec","se_iprec","mean_vpd","se_vpd","doymin","nsif","npai","nsifparm","year"
"all",2019-04-07,4.09276799972241,0.0982685822591954,1.36947657898642,0.116421246291964,2.54737657767076,0.0587937208398877,5.85658625456003,0.061664798068559,0.031183804743565,0.00107471101052898,0.0608475855909861,0.00228828558373211,0.259552999184682,0.00322121996548124,0.881311134650157,0.00323968376865732,160260.747426787,5318.0280832964,0.95854008770906,0.0635542578950959,0.330090528497329,0.0219709074958248,1.84468442504773e-06,1.24694105642076e-07,5.35608977061012e-06,3.59911576453545e-07,4.28259085591283e-07,2.96188889307441e-08,1.24325975960178e-06,8.54735154817517e-08,2.09477711806738e-06,1.41830020011908e-07,7.12816871307852e-06,4.95652806232249e-07,1.65489046740168e-06,1.19056558526299e-07,0.294460179789717,0.00329432227762975,-0.0908510557447489,0.00353747740464658,0.179390032701603,0.00530122791622569,0.0034993953935402,0.000250151487999997,0.532101769977848,0.0264840510023429,0.160796359635738,0.00606263613989888,50.021079738406,1.90996912795699,8.63965468058381e-09,5.54299184610447e-10,2.68641625169924e-06,1.73326524709669e-07,1.1646937936796e-05,8.02536610262189e-07,56.7999101402566,2.21053302679613,0.182515076867591,0.0069245012424982,1.12304824310973,0.0764568395405151,1.83784820321223,0.124349467414241,88.8597996051495,12.3491235546357,2.41641128243779,0.0401024380095566,97,26,26,26,"2019"
"all",2019-04-23,4.146811826372,0.0351120611641632,1.50107426640551,0.0307145775321615,2.45543972513277,0.0204837211702233,5.79806392651627,0.0268545736423341,0.0287409785235953,0.000264654083920059,0.0567878567869261,0.000543525207574349,0.260043077899455,0.000972977121067819,0.879142446848872,0.00145216388390668,147530.686605578,1006.80163687419,1.22834639462763,0.0196414745837809,0.424096560229074,0.00689002075446344,2.56027012878527e-06,4.60236942816312e-08,7.41176123149674e-06,1.30709942259342e-07,5.69707363494759e-07,9.75911298445361e-09,1.65007389279449e-06,2.78758207683964e-08,2.91853853786224e-06,5.42465183056729e-08,9.82925600667064e-06,1.71010244690229e-07,2.18608036520081e-06,3.59312873290869e-08,0.296026713061361,0.00120364739406406,-0.0884969027930348,0.000539440079980285,0.178756206819428,0.00177715355684031,0.00457618011881999,7.29096509759644e-05,0.489405248327262,0.00559397960583679,0.148461313347273,0.00160398474189455,45.0475991749983,0.447248579253469,1.27463042732703e-08,2.13288250028602e-10,3.89334903876991e-06,6.90756572896857e-08,1.75470921111757e-05,3.38209709441935e-07,51.2626540942446,0.511394778461501,0.168838850940411,0.00179710978041454,1.43089569751449,0.0222065799217242,2.54516848476037,0.0421659810997937,112.511316052747,3.49688107941828,2.40799555562871,0.00914130223622667,113,317,317,317,"2019"
"all",2019-05-09,4.14432808204933,0.0430845359619798,1.55064504672453,0.0412775909926242,2.41970078150431,0.0201607766182186,5.76706807953971,0.0302133081088837,0.02808042222427,0.000275602484968455,0.0552529557238495,0.000562984604446299,0.255793857511389,0.00111915583090489,0.885152777666768,0.00125651815475745,173381.041083542,1367.85757144984,1.09477858353534,0.0287107681727212,0.375229925184545,0.00983192890285558,1.94144572294939e-06,5.55010592561551e-08,5.66205600198935e-06,1.61282595131028e-07,5.46371477667723e-07,1.51506289927426e-08,1.59370553312358e-06,4.41152035111928e-08,2.19589187469505e-06,6.37029261081839e-08,7.56040575444299e-06,2.08439001249653e-07,2.13078606000746e-06,5.78754787047949e-08,0.289012652642465,0.00122765210663575,-0.093199153563806,0.000644508565716098,0.170573765554123,0.00186446150787722,0.00441929735859012,0.000119808619690343,0.511830448669858,0.0099209584578998,0.152042300213286,0.00275403615486523,43.0075867387534,0.695093851519167,1.30170708180703e-08,4.12078584904049e-10,3.73516095566716e-06,1.27324259445633e-07,1.32075112590796e-05,4.35488366928735e-07,48.5468559927218,0.769574653589027,0.171552295394481,0.00303563138479775,1.29439418071237,0.0328215994380763,2.25249689561559,0.0680308986490769,72.6455777391554,4.47293399981968,2.54435259536239,0.0140333990584133,129,189,189,189,"2019"
"all",2019-05-25,4.09289567813016,0.0376986309731144,1.41791031646885,0.0327037249872395,2.46125198077214,0.0212897453598369,5.58036758711463,0.031425622454365,0.0288669180897016,0.000287136178831775,0.0565558096859604,0.00056995485891177,0.255205807651867,0.0010618221663928,0.88125673982135,0.0014934218637959,167212.593374237,1400.16309543249,1.19036554826195,0.0236771351720518,0.403230672391752,0.0080069244156867,2.14829972905646e-06,4.54597031753967e-08,6.33658943989285e-06,1.32721485291606e-07,5.49752478845511e-07,1.0476069656439e-08,1.62255315985469e-06,3.09683021964899e-08,2.4398021811705e-06,5.23499644311176e-08,8.4158607625427e-06,1.78074553208676e-07,2.15552618894094e-06,4.11903507818866e-08,0.289636882302298,0.00114631903692033,-0.0913382716182815,0.000701481527106398,0.176748333600203,0.00203795887932151,0.00490594592958679,0.000101312558462386,0.504167080430801,0.00794984911370398,0.147682414853223,0.00199104657121613,41.0822504486862,0.471025713305988,1.36713960293784e-08,3.02309716537506e-10,3.84835068870619e-06,9.16292423221317e-08,1.50781920776403e-05,3.90785490212272e-07,46.6237199683025,0.531978342171887,0.167496333158884,0.00220867266692451,1.39230216187026,0.0274125909235283,2.48330773865487,0.0602044718035109,64.9544314709411,4.0359255050191,2.69751671527817,0.0175270166673066,145,228,228,228,"2019"
"all",2019-06-10,4.21619472069217,0.0205168038586875,1.60045582224224,0.0176258542420645,2.43850605131549,0.0110344570095702,5.73384047817312,0.0125083503271472,0.0280812796332121,0.000148093956835819,0.0553032417428148,0.000302930025070151,0.253746127289301,0.000485336341551999,0.890272040234839,0.000483055956996672,185626.67439469,614.147059104962,1.24532240471353,0.0103131038416652,0.421138227126863,0.00351359349742175,2.04111583253643e-06,1.91778898211392e-08,6.03305913851889e-06,5.59081064004581e-08,5.33556067152234e-07,4.69778221260536e-09,1.57776803648174e-06,1.38152795713384e-08,2.29411948477004e-06,2.1901076091538e-08,8.03636050807669e-06,7.35005952500439e-08,2.1030425779145e-06,1.836329334095e-08,0.285022857468362,0.00052451085753435,-0.0936758469315751,0.000282045140588294,0.171060781717063,0.000904409942360614,0.00525644764969837,4.52116183957853e-05,0.561280120474732,0.0040568269314825,0.164106008702154,0.0010572322847301,44.7219919244743,0.258879453096805,1.21040567243545e-08,1.13148846032957e-10,3.31946093795277e-06,3.29165821706242e-08,1.27353937316491e-05,1.39189600654883e-07,50.2256411129158,0.287881171919172,0.184266173322092,0.00117112272876918,1.47738241719266,0.0121174671963886,2.32947001615802,0.0216888754461807,21.9646863785007,1.20752332942835,2.68121592728589,0.0083274989461145,161,793,793,793,"2019"
"all",2019-06-26,4.14269489181277,0.0232610685227094,1.54004087788788,0.0192270604069202,2.4212537104558,0.0116481405196765,5.78871179348544,0.0127635190097367,0.027822851162943,0.000133356528514294,0.0548540647668568,0.000275712179124104,0.255985482919373,0.000586583255866299,0.890431644571455,0.000509053916002742,176760.425161435,558.321550956131,1.27797658566974,0.0121083169793881,0.428576818407562,0.00414110256884614,2.1762688475403e-06,2.26582206819807e-08,6.48680827598787e-06,6.59296772898078e-08,5.6924256278423e-07,5.91392905510168e-09,1.69729813504698e-06,1.73133248904476e-08,2.44520284474466e-06,2.56824170204883e-08,8.47388644812746e-06,8.23211236724795e-08,2.2183896977505e-06,2.19316194879866e-08,0.287465792958953,0.000627533134759127,-0.0932999167101164,0.000284947881025585,0.166821246375422,0.000995588731743722,0.00523704998443344,4.99190407393857e-05,0.552748639896771,0.00421839393150238,0.160991718663932,0.00105618618003052,44.863592107492,0.274586680089162,1.28886827113621e-08,1.42798165917019e-10,3.61392481503193e-06,4.26883504121458e-08,1.37730770553485e-05,1.57901222591776e-07,50.369903681912,0.303928792796079,0.180702434187403,0.00116008497950471,1.48578039420213,0.0132721511934005,2.40420409510448,0.0240206338630807,32.896244275477,1.57497281829109,2.80227715283677,0.0106795522078756,177,760,760,760,"2019"
"all",2019-07-12,4.31225822696632,0.0198007506471025,1.66416983207984,0.0203788878463153,2.48395048073408,0.0107666375392798,5.8398441137238,0.0118100600502381,0.0281845563612561,0.000144009797068548,0.0555720770657486,0.000302345599497869,0.256694065195254,0.000572790344007978,0.890182887542654,0.000482425166417938,182873.480698877,820.481749593214,1.31236169074493,0.012649123519515,0.443466514309297,0.00430520500860665,2.18268379833855e-06,2.29849973646957e-08,6.45478648414251e-06,6.68378134278317e-08,5.3966899067055e-07,5.25227839520824e-09,1.59722947268707e-06,1.54594543823317e-08,2.4534915078698e-06,2.61299073962522e-08,8.51372919910925e-06,9.03361800384495e-08,2.10144294068013e-06,1.99508387913815e-08,0.288323505114557,0.000597684187262499,-0.0913007663277147,0.000328998339150918,0.168483038458614,0.000922717198325062,0.00514231522219712,5.17970671016471e-05,0.5584490966147,0.0042810917549286,0.164563378705085,0.00110095880724089,47.8433513536146,0.27585759699597,1.14429321926944e-08,1.22933230227651e-10,3.35395556952361e-06,3.80824626715695e-08,1.36331127225703e-05,1.74531652622984e-07,53.7204730722497,0.301912592022052,0.184719396518321,0.00119974563485351,1.53652899093626,0.0144570588103937,2.43842978498284,0.0253774404906187,37.8940340346256,1.44136301992387,2.66993870841428,0.00945871772903142,193,704,704,704,"2019"
"all",2019-07-28,4.19293563363929,0.0172801872254382,1.62003511509635,0.0152252760178506,2.41334771763797,0.0079538473579335,5.9538593280195,0.00665527971231894,0.0280053396944446,0.000101904231999311,0.0553287041690263,0.000211454218435314,0.258768768134442,0.000409770955337912,0.89333434633735,0.000232275133957682,211490.072098066,677.177909100674,1.30054035834633,0.0083676337962628,0.440768627856001,0.00282494484756959,1.89217510114498e-06,1.54570478394165e-08,5.58005762092285e-06,4.51682677129588e-08,5.0125453552773e-07,3.35033452334243e-09,1.47856225663839e-06,9.84814077929726e-09,2.11874505993364e-06,1.74643039469652e-08,7.29796265763847e-06,5.66826783687292e-08,1.93639104358671e-06,1.25924065235674e-08,0.289632218000844,0.000434125902398222,-0.0895073418740673,0.000265068867279338,0.154071314087318,0.000843497359867162,0.00518725056375787,3.52165810239456e-05,0.588963493496849,0.00275610797629628,0.170021941201806,0.000716107708341268,50.0045523840412,0.185806206748795,1.00855766417535e-08,6.81109024580857e-11,2.9807805176924e-06,2.15209989147963e-08,1.12773489464835e-05,1.01468004446291e-07,55.9625519509487,0.204605128100246,0.190254059427279,0.000786202783809046,1.51944297666065,0.00912389334824059,2.33281839412621,0.0148003213628339,12.2041221924531,0.832066442361375,2.70918351810137,0.00852065862223916,209,1188,1188,1188,"2019"
"all",2019-08-13,4.255868871401,0.0211807629042446,1.59690330386525,0.0194882360749408,2.49891655165248,0.0107790232745141,6.13237724689449,0.00996756231205234,0.0290942848773628,0.000135197520945735,0.0573469567618037,0.000275485082561041,0.263527247532294,0.000611837757568809,0.889115811212034,0.000493834026314697,198136.002655676,610.15622817412,1.26352121152847,0.0128186813134212,0.431132804062899,0.00439627273999078,1.94488156846795e-06,2.12157360223995e-08,5.69998353217503e-06,6.18212572012053e-08,5.02189975204015e-07,5.24736134658347e-09,1.47163227460751e-06,1.52766037673856e-08,2.18875661786964e-06,2.42067960167273e-08,7.36816165050496e-06,7.72720077955065e-08,1.90553210715249e-06,1.95674704410994e-08,0.296371882714683,0.000655435847663679,-0.0833789957176167,0.000371652703355442,0.151081986314041,0.00138529119607945,0.00471363934209223,4.84788042974405e-05,0.525888802019972,0.00386688200678951,0.154745461432011,0.00109057986995189,47.9675042945879,0.303458770806028,1.0572738775699e-08,1.10431356012178e-10,3.29822545594214e-06,3.66516522104024e-08,1.2775892232098e-05,1.46301782956556e-07,53.9410920038166,0.338863531312015,0.173984277629778,0.00121107671393338,1.45152089513826,0.0139758226997073,2.50830067774571,0.0258265358112025,52.8125627233745,1.55664012338612,2.60404240951959,0.0106673583533655,225,656,656,656,"2019"
"all",2019-08-29,4.20227857931566,0.0162896296939611,1.61562587464486,0.0152384612521673,2.42843942640741,0.00875082054644175,6.23804570852142,0.00776928408077864,0.0294805348817853,0.00011921719271819,0.0583116123077496,0.000249046614433904,0.265953399289988,0.000481717979212028,0.889633865095675,0.000417797592251284,202366.52428042,738.85779177684,1.3294010047133,0.00964670672177937,0.461246860019807,0.00337762276120353,2.06109750008669e-06,1.7245049334046e-08,5.93968799155063e-06,4.92744709979134e-08,5.12133031141297e-07,3.91226139862822e-09,1.47605648433898e-06,1.11713403192602e-08,2.31731716614439e-06,1.94749924276079e-08,7.77103656970362e-06,6.62199650121507e-08,1.92662104081502e-06,1.45201480006781e-08,0.298899334409786,0.000506641319995195,-0.0839008633997046,0.000218990765208785,0.156931439083178,0.000794525971245441,0.00466511535679539,3.33312546816285e-05,0.494479429081262,0.00242201111744829,0.150975516720615,0.000683228095582444,48.6278356104408,0.20535792905905,1.06107713830028e-08,8.36001573744604e-11,3.4254471981342e-06,2.73843374701931e-08,1.37804307750022e-05,1.18958051392932e-07,54.6559473136267,0.229141197445259,0.169678160805682,0.000760528850262174,1.5429808777737,0.0110305671522823,2.74053913226893,0.0204101063545228,47.7187080964425,1.13955580028003,2.51273142651837,0.00648010067738296,241,1216,1216,1216,"2019"
