"georeg_agg","doymin","mean_pai","se_pai","mean_pai_toc","se_pai_toc","mean_pai_us","se_pai_us","mean_modis_lai","se_modis_lai","mean_meanpavd","se_meanpavd","mean_sdvfp","se_sdvfp","mean_nirv","se_nirv","mean_fpar","se_fpar","mean_apar","se_apar","mean_sif743","se_sif743","mean_sif743_cor","se_sif743_cor","mean_sif_par","se_sif_par","mean_sifs_par","se_sifs_par","mean_sif_parm","se_sif_parm","mean_sifs_parm","se_sifs_parm","mean_sif_apar","se_sif_apar","mean_phif","se_phif","mean_phifm","se_phifm","mean_fesc","se_fesc","mean_pri_nar","se_pri_nar","mean_cci","se_cci","mean_sif_rel_tropo","se_sif_rel_tropo","mean_ndvi_tropo","se_ndvi_tropo","mean_nirv_tropo_refl","se_nirv_tropo_refl","mean_nirv_tropo_rad","se_nirv_tropo_rad","mean_phifm_tropo_rad","se_phifm_tropo_rad","mean_phifm_tropo_refl","se_phifm_tropo_refl","mean_phif_tropo_refl","se_phif_tropo_refl","mean_fesc_tropo_rad","se_fesc_tropo_rad","mean_fesc_tropo_refl","se_fesc_tropo_refl","mean_sif_fesc_mod","se_sif_fesc_mod","mean_sif_fesc_tr","se_sif_fesc_tr","mean_iprec","se_iprec","mean_vpd","se_vpd","nsif","npai","nsifparm"
"NWA",1,4.37983861452417,0.0358345040698397,1.86753860059418,0.0300118594193871,2.36517175767995,0.0182333508124403,6.08984943886539,0.00306691079365403,0.0273662731051445,0.000242605826684215,0.0542796044787274,0.000490276717196949,0.266187236720362,0.000108787283890695,0.8831853713642,0.000164541184085538,155201.801153956,138.577919361068,1.41154806612423,0.00163870797542822,0.489945175412016,0.000584160813106928,3.06898071802063e-06,4.54280421242549e-09,8.84466862513159e-06,1.2934035994478e-08,7.0059485346437e-07,9.18140055444347e-10,2.01796351212465e-06,2.58709440064238e-09,3.11975925918472e-06,6.59026267565297e-09,1.08081236286617e-05,1.81845422400839e-08,2.48115317746721e-06,3.63289828284899e-09,0.293711712708761,0.000133892783358096,-0.0806629644709879,4.79037508615625e-05,0.169184184344376,0.00019189144491928,0.0047535009041,5.170486777627e-06,0.50740134918176,0.000389571064995857,0.155583663038245,0.000123058118760888,51.8275283881718,0.0391111020787296,1.36308348545976e-08,1.67086139519743e-11,4.56722166560728e-06,5.79636563827368e-09,1.98924990394713e-05,2.70429920685391e-08,58.0740714495504,0.0563588402395703,0.175622612421667,0.000177714687737473,1.55016842925437,0.00233084929889819,2.65242701074106,0.00384977566432427,95.9359921275685,0.245471787655498,2.44651154372029,0.00108465966305799,81251,158,81251
"NWA",17,4.43354486305023,0.0350189293733038,1.75716629596514,0.0375747617399515,2.51374540707775,0.022625507234271,5.87216557809645,0.00652078152860651,0.0290518058028734,0.00034490806255474,0.057862701921541,0.000694387032789287,0.263132584391388,0.000156334659158668,0.871301323581896,0.000372706689148289,151173.912444117,132.193213111619,1.42405626948385,0.00207232330097417,0.490758554479479,0.000733846124880993,3.0479367817967e-06,4.9646579625223e-09,8.84223016953177e-06,1.40503598816554e-08,7.23913552048795e-07,1.2456376703095e-09,2.09986117219677e-06,3.53539597712166e-09,3.05455612513353e-06,8.39262170649359e-09,1.0696899209993e-05,2.09827124350091e-08,2.53352363644105e-06,5.56856585667405e-09,0.291838307589796,0.000233241470046521,-0.0782853951519382,8.62081788122809e-05,0.156645218328066,0.000297444823145199,0.00439542886013771,5.78540393012846e-06,0.470015545604798,0.000458528680553389,0.151304998648623,0.000156272181971165,51.774104670813,0.0505544944922139,1.41273758059383e-08,2.30429846855943e-11,4.86830647326028e-06,8.20928962070096e-09,2.04643630203197e-05,3.1578373775736e-08,58.849575561359,0.093581412680924,0.173623184249846,0.000290449389709079,1.52998277154232,0.00348983946654878,2.64704443969691,0.00591439594232087,138.472340848142,0.277545599256271,2.43209615035924,0.00120612236835906,55115,107,55115
"NWA",33,4.39823079828042,0.0243597124712507,1.71657737475544,0.0267235371545619,2.52376147071321,0.0149888368182253,5.90749546074451,0.00499930463178189,0.0292843212677756,0.000221972784470979,0.0583737016136023,0.000455552905324439,0.260731387498261,0.000131136861394644,0.872821217080134,0.000282241859149086,169052.536608424,163.628460869707,1.42272922149276,0.00175054054420427,0.484028928834028,0.000609850552687685,2.79444431459004e-06,4.27656831324193e-09,8.20987892842295e-06,1.22873530854883e-08,6.90540517561232e-07,1.02882725766467e-09,2.02823227770719e-06,2.95315655754251e-09,2.73505794188542e-06,6.41049212431392e-09,9.73970238848714e-06,1.83010336191621e-08,2.34800424798286e-06,4.19917213074776e-09,0.291520792599491,0.000168142720541056,-0.0761160995212941,6.34183266023319e-05,0.149565319314823,0.000241278627390356,0.00445975277016119,5.11700209969063e-06,0.481798248954995,0.000428697118161763,0.148428931661698,0.000132474558957582,51.6847048823222,0.0430118534463465,1.35811186539196e-08,2.03121369596864e-11,4.76711053617882e-06,7.41310034767817e-09,1.91637946393641e-05,2.84011208977288e-08,59.343688440523,0.0727960207962025,0.172039085225593,0.00022661625689916,1.52320285267992,0.00281810427029345,2.65245814471891,0.00515236828109085,87.8776331304311,0.205232132148974,2.46133787813464,0.00101800634724752,67662,199,67662
"NWA",49,4.20884241280931,0.0517171711962232,1.45383908189415,0.0472493894972056,2.57053557674537,0.0277030647911786,5.69222406302208,0.00818322076767481,0.0311897313536218,0.000423246610172514,0.0622841143206264,0.000855405071315208,0.267271616745637,0.000147242394737222,0.859651804220451,0.00047426208246661,170811.670153567,255.558093015169,1.30120928102099,0.00192575290069699,0.443415173818522,0.00066873848922772,2.40576804847192e-06,3.98142121723611e-09,7.05950881878521e-06,1.15065669430112e-08,6.37473478319905e-07,1.07561934383254e-09,1.8704245044418e-06,3.10509424086925e-09,2.61755473442301e-06,9.44007615469647e-09,8.6150175148075e-06,2.0875935860948e-08,2.20334230890078e-06,5.31040943026157e-09,0.305293169500175,0.000275166125922219,-0.0744853663866497,0.000101203568415827,0.162965667389122,0.000311306913160729,0.00384528937849036,5.18566422190473e-06,0.462675684010595,0.000429270742400072,0.150524816210726,0.000157839439502705,52.8194608009745,0.0520124553979313,1.22630042375304e-08,2.03199645702716e-11,4.33198257776598e-06,7.37286367501724e-09,1.62820156509846e-05,2.5893427382693e-08,62.5511656252253,0.128728322672777,0.179075586054386,0.000387679801781785,1.38023843073474,0.00448489349748978,2.43690144502558,0.00700350062702243,119.473675496061,0.225941857118481,2.43789822007694,0.000813819447795219,62321,89,62321
"NWA",65,4.2454923703557,0.0396610879860555,1.48402778520471,0.0441539076297628,2.59134730696678,0.0235543038733556,5.68703388018852,0.00813043332288102,0.0310423869329194,0.000484318220469197,0.0618041641566725,0.000993041256975061,0.269615945455059,0.000168886121717269,0.855830554513696,0.000481091947030907,147661.704541363,204.296012561623,1.38695591975472,0.00217675922671857,0.475555087833827,0.000758381129741143,2.71749319157234e-06,4.63046930625655e-09,7.92626660228373e-06,1.33201585092734e-08,7.0829855034186e-07,1.23472696111327e-09,2.06577323235435e-06,3.55083080481527e-09,3.23475004958092e-06,1.06516138414962e-08,1.0304659093829e-05,2.53049382667489e-08,2.53546674955114e-06,6.34641088463183e-09,0.309215671642089,0.000318575305597523,-0.0738594000112056,9.91540237201324e-05,0.163665334651378,0.000316838104059182,0.00400510732163885,5.8459718594236e-06,0.449303609397172,0.000466164753543927,0.151859244792733,0.000175985782087305,52.8391680386786,0.0574838351447187,1.36314797137508e-08,2.3378633967911e-11,4.77558451888454e-06,8.41038737418355e-09,1.82209089722614e-05,2.9040525691733e-08,62.5558720558922,0.130495482666121,0.179766622559797,0.000397247499576504,1.50862313089381,0.00507229276244768,2.63539445777646,0.00732634855959013,135.282470258057,0.25778648085923,2.44185365130043,0.00124465042106492,58798,84,58798
"NWA",81,4.35739490565132,0.0224138674247838,1.74980296056812,0.0301552745257647,2.43473335474479,0.0155352506143097,5.90625484933555,0.00499271657739804,0.0289206321687758,0.000316246495079104,0.0573631173171917,0.000613254061771577,0.260800658760081,0.000122215610980559,0.871091055202245,0.000291700568436398,146072.506441818,221.759260559192,1.25526147662179,0.00158539720368519,0.430826394334336,0.000549333868008194,2.78426969440612e-06,4.19773170514645e-09,8.11336263627838e-06,1.21656076406109e-08,6.37016867457453e-07,9.26074024885493e-10,1.85620782142082e-06,2.67975751152162e-09,3.06217402727244e-06,8.36495637990539e-09,1.04282703137839e-05,2.05502897491027e-08,2.36968715999842e-06,4.25705936656282e-09,0.296076193877931,0.000192479651630522,-0.0720042972365438,6.81639096626212e-05,0.158332704630878,0.000237767113375813,0.00403998808648717,4.97958589534749e-06,0.448834603912348,0.000392492761832826,0.13995259134276,0.000123260561272511,47.5547959907802,0.038837314940901,1.36724343748249e-08,2.14400272870247e-11,4.67453052403658e-06,7.58333848413658e-09,2.0260351642612e-05,3.06730200685107e-08,55.09331092029,0.0770422555222402,0.162047906547197,0.000241884974666104,1.42344368719916,0.00327451893816845,2.65931522265109,0.00574383351979055,141.711704782864,0.228767185166931,2.42791182225551,0.00114739218195127,65689,119,65689
"NWA",97,4.24532249286061,0.0319181386476517,1.58030843189252,0.0344565124227979,2.48252481151195,0.0244810402555889,5.81553427357361,0.00381815859160548,0.0299407483433329,0.000323500986512709,0.0591355907021179,0.000657553983932818,0.261007637232863,0.000101917263851687,0.870020047301707,0.000220225773525791,153522.478846398,115.68546667805,1.22652281433912,0.00152227443122063,0.421711711908855,0.00052797583974033,2.45154549307846e-06,3.04253119870057e-09,7.12977939551022e-06,8.76563942000297e-09,5.98590399823367e-07,8.12774989271248e-10,1.74061241310198e-06,2.34052842502336e-09,2.84340372757057e-06,5.20401840003894e-09,9.53522464552943e-06,1.42446360796646e-08,2.34145905183906e-06,3.88207055484271e-09,0.298638578544165,0.000140650024554122,-0.0797600082875305,5.50406590112581e-05,0.16538674878531,0.00019923540230807,0.00417839457256335,5.12815175343988e-06,0.469994834634829,0.000409911156912527,0.143205955374696,0.000116459673486183,47.0062744357961,0.0355325039303304,1.29655124247468e-08,1.84439523123509e-11,4.28297416478702e-06,6.3027889840801e-09,1.75223372162246e-05,2.29220755082086e-08,54.6921833653081,0.061767976122191,0.167012409581708,0.000201580686034008,1.47748699918598,0.00292677573635276,2.64932677855362,0.00510744074869504,151.676774860027,0.230977084030428,2.41937640945333,0.00104519119603995,76515,168,76515
"NWA",113,4.23110603326119,0.0290349021162873,1.63806225844478,0.0250568275852112,2.41577332851871,0.0168824149998519,5.65858735044976,0.00442013759262743,0.0286369488805832,0.000233909261179478,0.0566831784410365,0.000476038191527163,0.26005689155273,0.000102291538417807,0.866502807932807,0.000259741139000776,142101.656244149,171.206949652011,1.19240781555818,0.0013982718620707,0.412429475158656,0.000486182701536804,2.71107945327308e-06,3.62287242804302e-09,7.83741335652235e-06,1.04218064117874e-08,6.29043559421162e-07,7.98118989152943e-10,1.81856997506812e-06,2.29559374323582e-09,2.99097448487326e-06,6.84684738297389e-09,1.04263289380273e-05,1.6851172520958e-08,2.40201720739197e-06,3.69961331375476e-09,0.298432086465454,0.000163778643419734,-0.0834893170846325,5.52345821686746e-05,0.177874330917602,0.000205523000990459,0.00425629490254746,5.0350477479281e-06,0.476492653426271,0.000388286985023616,0.146122355388908,0.000112272466475867,45.9411226796296,0.0327347866058131,1.39399052375206e-08,1.88488355280957e-11,4.40970386209973e-06,6.18354020330064e-09,1.903075951074e-05,2.73733259559356e-08,53.8084566613024,0.0655119655351082,0.172316660756583,0.000225240992013022,1.39247132482951,0.00295668553233542,2.44264053195329,0.00520031100090385,163.584121228287,0.267171989821942,2.42170262040908,0.000988399939087828,75654,298,75654
"NWA",129,4.23758921330435,0.0281192937540524,1.66604691375243,0.0252788989643829,2.38841906890535,0.0161420970510676,5.55455725399991,0.00406812690932859,0.0276117141276859,0.000232540359425854,0.0543057675751155,0.000466768850864554,0.255852002391166,0.000105155015583133,0.867067025755471,0.000234745325722213,144350.171018303,197.092477934982,1.1694891890502,0.00150726460241973,0.404437677019416,0.000525490051818585,2.82818442595204e-06,4.42589975092448e-09,8.17174173612361e-06,1.26399967691544e-08,6.4319682385226e-07,8.91099253671875e-10,1.85950496483074e-06,2.55214855617076e-09,2.92222996009772e-06,7.94411895658139e-09,1.05206713625898e-05,2.1696837739134e-08,2.44578891583895e-06,4.25302383228803e-09,0.291182399536367,0.000161618824810218,-0.0842333526234123,5.82993954018837e-05,0.175507564360359,0.000221602268622385,0.0043792523873716,5.67107096806107e-06,0.474587277479643,0.000401412544491529,0.144025125452051,0.000113306784125339,43.5249617226892,0.0319661882004394,1.5018021932916e-08,2.16205461482608e-11,4.5708921637957e-06,6.83477357539631e-09,2.00925549046158e-05,3.3033902850788e-08,50.0339330279751,0.0615173987965486,0.167663843499626,0.000219637463141835,1.37007413096643,0.00314898964117121,2.42234759852056,0.00537834457720307,133.965374425343,0.277954151340176,2.46504115387955,0.00104425491224809,78200,285,78200
"NWA",145,4.21157884540952,0.02512910944467,1.6147314050961,0.0199667349067246,2.41062976786141,0.0126242485336481,5.33023315008692,0.00370877224721253,0.0286011787070261,0.000154348061531349,0.0563670001091372,0.000300516070826555,0.252186206852603,9.59471773104374e-05,0.862139190471392,0.000233339768812687,155109.127368474,157.881220027555,1.20954686476269,0.00131542442397085,0.417321004363825,0.000457651927459075,2.49926105952457e-06,3.35187746505844e-09,7.23559748236463e-06,9.5538281636585e-09,6.50711043421033e-07,7.49561117038139e-10,1.88565044200214e-06,2.15182903071409e-09,2.76589838453832e-06,5.90535140813793e-09,9.68128496389395e-06,1.56189180861388e-08,2.54583816204567e-06,3.58953271795611e-09,0.288877910580276,0.000148204174134904,-0.0837204177411757,5.16880348826587e-05,0.173999442154017,0.000201141887516487,0.00463748629251392,5.07603697423852e-06,0.486092032828612,0.000391218583072592,0.147370742890937,0.000105919005877529,43.3895280023388,0.0293640112303902,1.52932302703929e-08,1.90707235226609e-11,4.53247027883673e-06,5.89460553291474e-09,1.73714989568846e-05,2.44786593944852e-08,50.5406828274456,0.0526965867005192,0.173575609357711,0.000190512019547454,1.43350155488958,0.00277251006864414,2.42496596079948,0.00449812982020626,149.677881580042,0.265652702713986,2.58486391706372,0.00111012485256182,88166,472,88166
