"zone","doymin","mean_pai","se_pai","mean_pai_toc","se_pai_toc","mean_pai_us","se_pai_us","mean_modis_lai","se_modis_lai","mean_meanpavd","se_meanpavd","mean_sdvfp","se_sdvfp","mean_nirv","se_nirv","mean_fpar","se_fpar","mean_apar","se_apar","mean_sif743","se_sif743","mean_sif743_cor","se_sif743_cor","mean_sif_par","se_sif_par","mean_sifs_par","se_sifs_par","mean_sif_parm","se_sif_parm","mean_sifs_parm","se_sifs_parm","mean_sif_apar","se_sif_apar","mean_phif","se_phif","mean_phifm","se_phifm","mean_fesc","se_fesc","mean_pri_nar","se_pri_nar","mean_cci","se_cci","mean_sif_rel_tropo","se_sif_rel_tropo","mean_ndvi_tropo","se_ndvi_tropo","mean_nirv_tropo_refl","se_nirv_tropo_refl","mean_nirv_tropo_rad","se_nirv_tropo_rad","mean_phifm_tropo_rad","se_phifm_tropo_rad","mean_phifm_tropo_refl","se_phifm_tropo_refl","mean_phif_tropo_refl","se_phif_tropo_refl","mean_fesc_tropo_rad","se_fesc_tropo_rad","mean_fesc_tropo_refl","se_fesc_tropo_refl","mean_sif_fesc_mod","se_sif_fesc_mod","mean_sif_fesc_tr","se_sif_fesc_tr","mean_iprec","se_iprec","mean_vpd","se_vpd","nsif","npai","nsifparm"
"all",1,4.22365278137636,0.0194715743913561,1.54617580279849,0.0197209076035401,2.47689408016733,0.0116036184572742,5.7076440157848,0.0021299773678229,0.0287586065978873,0.000168607615035563,0.0568841392781491,0.000348682694484203,0.272370391375619,6.82810323550364e-05,0.864229777442079,0.000132889105622152,151048.906631059,65.1379645695324,1.50551153906559,0.00081627798154957,0.525121098174887,0.000297258366194924,3.1437601716776e-06,1.84321228755817e-09,9.02443239046086e-06,5.15903391030149e-09,7.10214306481949e-07,4.22793210319935e-10,2.03737422747951e-06,1.17463185657728e-09,3.29872267976059e-06,3.23041842511393e-09,1.10760473701751e-05,7.55714931997602e-09,2.45344857384182e-06,1.63790446074397e-09,0.3024172504015,0.000112168136904766,-0.0855426492121491,2.33379703909803e-05,0.172137529206399,0.000103572054558444,0.00495551904301742,2.38609893329743e-06,0.510492672697609,0.000198914013466519,0.159784833536217,7.02379650606929e-05,53.5372078816991,0.0234337621268875,1.35219496860284e-08,7.35189595015354e-12,4.54391859569306e-06,2.53287022946014e-09,2.01461440703175e-05,1.10925202760346e-08,59.5664243997028,0.0402742617933712,0.178639420224202,0.000118600208693915,1.57753425582484,0.00129247539211028,2.74897448121547,0.00204913821443867,111.932971637935,0.107631991620822,2.45665745023864,0.00038163727228667,430651,632,430651
"all",17,4.19906825308308,0.0241037763035664,1.43509188590095,0.0226696534077711,2.5506595408569,0.0154827045066344,5.55358611109511,0.00299043388160576,0.029905289563981,0.000212416127745376,0.0592184602220296,0.000421353920609368,0.272886566816646,8.27548275914399e-05,0.852694182744615,0.000190465936961195,153507.866658901,78.0836164816128,1.51430343753012,0.00088614409205922,0.523416307860724,0.000317838091750934,3.12889871086419e-06,2.05278023406592e-09,9.06278232749393e-06,5.82184815510313e-09,7.0111199078285e-07,4.44013395166605e-10,2.02961937546495e-06,1.25059070787993e-09,3.32338904489413e-06,3.70392057597811e-09,1.09607331563443e-05,8.8941603351355e-09,2.454298451828e-06,1.89066838579296e-09,0.309520015829861,0.000148386825219539,-0.0852723534475635,2.95909636111682e-05,0.162291888641702,0.000125560360017594,0.00468907805586982,2.47299488007425e-06,0.527005197336087,0.000274870177711612,0.16892779910635,9.1736265420166e-05,58.1077760660149,0.0315231265315105,1.26530768971263e-08,8.44083562640159e-12,4.3619836582974e-06,2.95844189212819e-09,1.94627536499023e-05,1.34439061132441e-08,69.6122951203446,0.0669359294998241,0.202750082624545,0.000191042430558995,1.60109542012118,0.00158426074069263,2.57205016449208,0.00261598969822877,117.261649303588,0.107715822384359,2.46001234603409,0.000442475442359547,348921,446,348921
"all",33,4.29368358234139,0.0176315021653035,1.53826858571403,0.0170572781200299,2.55694691838713,0.0109012008757994,5.45763005366932,0.0029641310006614,0.0295957849604109,0.000143429027177663,0.0586850800249646,0.000293380396000412,0.268869102430148,8.12709449703388e-05,0.847702241292757,0.000183870427021785,156176.067653419,78.4647115136672,1.51468049808263,0.000839747301871157,0.518694115301328,0.000296472195798829,3.09153116229737e-06,1.95710681065344e-09,9.02905503681506e-06,5.58480457288645e-09,7.06821636534108e-07,4.54919876978494e-10,2.06334699676265e-06,1.29296461098911e-09,3.15770065811121e-06,3.72073133951278e-09,1.06343858941836e-05,8.94026975987276e-09,2.37004182190581e-06,1.95369660709925e-09,0.303415021916146,0.00013709736430278,-0.0826204043840516,2.97858779383951e-05,0.158943554897446,0.000125808344861601,0.004597065733704,2.28014880066267e-06,0.495933286510584,0.000202282390251846,0.158673966343299,7.42874441702694e-05,55.3873562380764,0.0253633483710085,1.30731123219678e-08,8.00806578562467e-12,4.58493683167146e-06,2.87520622044526e-09,2.00247618806212e-05,1.20839359834098e-08,64.3387642703116,0.0495449247841744,0.185227525322583,0.000144017742579361,1.53949400091511,0.00153129799684559,2.62554763138333,0.00244315046637227,114.169605045403,0.111490685675521,2.45963450781525,0.000375458495450284,401472,793,401472
"all",49,4.12120716822775,0.0278126164328735,1.40294441557244,0.0239026731875254,2.50588559163244,0.017548325702814,5.50521590432584,0.00322494214839774,0.03026538661338,0.000233836554511064,0.0600948472997468,0.000478640949482714,0.268323910423396,8.34558655062392e-05,0.848138734426311,0.000204347814227306,163258.087367861,104.109226466525,1.39490098948472,0.000868083105287652,0.476538474880513,0.000302990765354852,2.83439628292896e-06,2.11908052540819e-09,8.29392588146353e-06,6.09288440749703e-09,6.5225185854359e-07,4.66083297370687e-10,1.90835565903594e-06,1.33654890343211e-09,2.86054555057871e-06,3.86768435252633e-09,9.56741708752263e-06,9.64335901102751e-09,2.18036107471414e-06,2.03166286353189e-09,0.307075134606008,0.000141486614207344,-0.0822617286368142,3.25682544703304e-05,0.154643173697527,0.000132576705854969,0.00415399728481742,2.29897129901239e-06,0.488727902924678,0.000223524612599238,0.157435484466239,7.64059125480234e-05,55.1631953958936,0.0257154185250881,1.21291783492828e-08,8.38729004016494e-12,4.27453753763658e-06,3.02041812778521e-09,1.85533135376488e-05,1.34091166771037e-08,65.972753400724,0.0551893162537325,0.188968661384464,0.000163239450680869,1.43124816390836,0.00161544584161773,2.43701740248602,0.00267500541387507,122.040004471101,0.128236464131181,2.46217598369111,0.000404528857850746,364694,380,364694
"all",65,4.1630682488314,0.0235528158819991,1.47142073106981,0.0199702110167954,2.48490493801198,0.0139324875921848,5.49084886926978,0.00272502591058679,0.0293920090749176,0.000177793895123337,0.0581940146475512,0.000367007750821013,0.271798547926337,7.48824371794083e-05,0.848096889637342,0.00016480535129644,156673.305344179,83.5157653280107,1.42211529431054,0.000849271110756419,0.486782376143,0.000295249543917889,2.82397617271158e-06,1.8662564902473e-09,8.25363649113174e-06,5.39648998903188e-09,6.54592037310372e-07,4.3355810584599e-10,1.91201632432682e-06,1.24770254551165e-09,3.0436475639334e-06,3.40595445321921e-09,9.91813316854807e-06,8.82942477828393e-09,2.26024130420786e-06,1.96189388046917e-09,0.313947661755235,0.000116201721972494,-0.0827796164731028,2.8526532602688e-05,0.15753218667439,0.000123550704277312,0.00428869082320683,2.35722516555996e-06,0.469908948017164,0.000182654576890015,0.152198736962366,6.56957523617587e-05,52.743724726134,0.0212877175017292,1.25200805906023e-08,7.67710240641145e-12,4.36524416831588e-06,2.73430672957879e-09,1.88994306059573e-05,1.19284537461428e-08,61.7772789896305,0.0410969195634306,0.178523811299801,0.000127360106712648,1.46299453080888,0.0016021082154775,2.63462547857814,0.00246834336561968,130.152917606215,0.115691994592959,2.45146588297572,0.000404930328783517,389263,632,389263
"all",81,4.16956861055814,0.0242615036753637,1.43883805224529,0.0270963229597323,2.52543486705193,0.01520668735772,5.69486108128936,0.00245973878489852,0.0307838679391604,0.000249997193412937,0.0608928489226561,0.000505369661406524,0.266333279780776,6.74220661050147e-05,0.860582420174598,0.000145182129436212,148350.173839974,79.2734493331195,1.3729846629355,0.000809953066812424,0.472216685369514,0.000282105389788536,2.86106045667526e-06,1.91116559105966e-09,8.32006717460073e-06,5.50921109758655e-09,6.42342443558169e-07,4.0761115341965e-10,1.86765352692905e-06,1.1722358444954e-09,3.16272543921614e-06,3.48713211360882e-09,1.04960670879291e-05,9.10261575086841e-09,2.2956014979564e-06,1.83550900281405e-09,0.304180041899922,9.9329260337e-05,-0.0807264408323852,2.8678022033994e-05,0.160726929514433,0.000118018082089405,0.0043875591813799,2.4176478412347e-06,0.470428028632117,0.000184746538505939,0.149168545520515,6.1766034667612e-05,50.0527361374997,0.0191263394717239,1.30349020236673e-08,8.24480922191911e-12,4.40332645146957e-06,2.85662873019949e-09,1.96162762493805e-05,1.31057135404126e-08,57.966991111981,0.0356295985360938,0.173596622907108,0.000116060707980742,1.47947980545514,0.00154450155608479,2.66305008081011,0.00254208756131163,129.497317745473,0.104898271157464,2.44353228864264,0.000413013858476792,369776,325,369776
"all",97,4.12426463180051,0.0219497465968816,1.47560298542625,0.0190668621429493,2.45730864378263,0.0125392666482826,5.56014995523261,0.00226220094581822,0.029218838367212,0.000161031764362103,0.0579128659102229,0.000326152731204504,0.263709562656674,6.1501547359236e-05,0.859975776268242,0.000130956402587649,155322.688578916,70.0945784545385,1.26293339025617,0.000723504886837253,0.435518979365167,0.000251832372745223,2.63523133186574e-06,1.73887725648047e-09,7.64043738931456e-06,5.0015199838455e-09,6.1152296908726e-07,3.74175023402671e-10,1.77331452661184e-06,1.07593910583427e-09,2.80349841899666e-06,2.80246633468984e-09,9.43338615836078e-06,7.58624946071803e-09,2.24030204073303e-06,1.69648525549407e-09,0.302841952577865,8.19987999302785e-05,-0.0844304694099039,2.52062638631303e-05,0.160542577346376,0.000111837637606062,0.00434525699314363,2.38095120340278e-06,0.505614170186062,0.000228752478848246,0.155570539797783,7.12526764296269e-05,50.1663610378823,0.0225192683366845,1.26745908250883e-08,8.39094795206254e-12,4.11955705259293e-06,2.84368499890282e-09,1.78126783593554e-05,1.32455259670405e-08,58.9081220424123,0.038772670520523,0.185752949910364,0.000124261539197559,1.4049542923947,0.00131510654692174,2.37010785414986,0.00227594977882695,138.169692768604,0.115333156592224,2.44502488119189,0.000434932782632914,401504,784,401504
"all",113,4.0938517962637,0.0190309992588941,1.44537459155396,0.0158316351847613,2.45472449397744,0.0111004072028663,5.45279095760346,0.00193861037719971,0.0291625605044195,0.000136802062864864,0.0576698109209802,0.000279504571673676,0.258569945078418,5.2098181823853e-05,0.860121125952134,0.000110993035543488,147333.568242059,58.6813851743417,1.25064344757484,0.00063652339302499,0.431782034865732,0.000221626073947764,2.74294445157429e-06,1.61344115348151e-09,7.94185309353145e-06,4.63123467640231e-09,6.1455678799886e-07,3.33028619627161e-10,1.78003462743263e-06,9.57486605093825e-10,2.95114436230575e-06,2.52910764353942e-09,1.01623858187999e-05,6.83973578033033e-09,2.30502031547166e-06,1.41374622419364e-09,0.297275604156051,6.80064405704783e-05,-0.0865704894994897,2.03037444221401e-05,0.164474131402917,0.000102713661083467,0.00460561573711991,2.2822936373688e-06,0.490113694491799,0.000173166112362005,0.147348252586698,5.12887018390828e-05,45.5480589428824,0.0145908036428069,1.37290997621738e-08,7.80563215157917e-12,4.28465543851314e-06,2.57527452295859e-09,1.91852901239863e-05,1.2453227965239e-08,53.1606564700535,0.0237185040127318,0.175909060127751,8.53075573381998e-05,1.41694271878715,0.00106347162457324,2.45352679225359,0.00193298009535879,133.871113480419,0.114490702318021,2.4458967041295,0.000390569131160957,427029,1126,427029
"all",129,4.11812790234884,0.0204875857592853,1.51266468911924,0.0154203191684636,2.42063887443211,0.0107870089256595,5.31055714658441,0.00196402953867892,0.0284953412340916,0.000128463176889517,0.0562132872202644,0.000257304955974821,0.25298000781429,5.27432364110576e-05,0.860705464678348,0.00011200750823189,149410.492662608,63.124438965686,1.23612953229742,0.000668367047971001,0.426949082404353,0.000233918096685163,2.7923368494791e-06,1.80618307685673e-09,8.07344980944266e-06,5.13059430831501e-09,6.33227852042838e-07,3.638210432058e-10,1.83328792136389e-06,1.04088619305828e-09,2.87647870616953e-06,2.74370786349423e-09,1.03410140159326e-05,7.94924225506558e-09,2.41054243891508e-06,1.58505521167516e-09,0.289259081115276,6.45751281146742e-05,-0.0865928986642348,2.13406276114239e-05,0.161058062188357,0.000113266640991279,0.00478922434016547,2.51433042210023e-06,0.506412091183314,0.000198153801089534,0.150504461920522,5.76016373570968e-05,44.7264639127296,0.0166989418459572,1.44992318016917e-08,8.80145968227807e-12,4.35024820170409e-06,2.80248105343108e-09,1.92298045014636e-05,1.36554099666894e-08,51.4094917955171,0.0245910272109048,0.178974578698522,8.91233141172081e-05,1.41764492255827,0.00110722768031999,2.36359333561107,0.00197764684212693,119.713572853921,0.138824548206366,2.50639066729463,0.000482480339166815,419385,1266,419385
"all",145,4.1201117585427,0.0151934992136456,1.46646197600019,0.012134339204854,2.45581344648179,0.00868987450480065,5.31249690489903,0.00155061288842022,0.0293661184365742,0.000105316138370952,0.0578859204089252,0.000212004388936956,0.249168289193381,4.7648529005151e-05,0.864072132531729,9.8029536350675e-05,163645.920759199,55.0271593528627,1.24744568160147,0.000627062063344381,0.428600668970904,0.000218409534307649,2.50096071907197e-06,1.55405356318063e-09,7.26716437983919e-06,4.42073194767741e-09,6.11631682769627e-07,3.34397183260476e-10,1.77944785536683e-06,9.58733606687746e-10,2.62029428349064e-06,2.19150188508586e-09,9.47764289768921e-06,6.3212430822691e-09,2.36045608453773e-06,1.39103809237138e-09,0.284059595792042,5.81973173731206e-05,-0.0870584566110134,1.94681015607311e-05,0.159160360928587,0.000106843254067911,0.00499983373857586,2.41102267637677e-06,0.520115419241591,0.000197107427541926,0.151802004117286,5.32121285773691e-05,44.0282818565611,0.0146037690921484,1.42324700467641e-08,8.38060580492656e-12,4.17622135459715e-06,2.63584039098255e-09,1.70919955768863e-05,1.19090226169547e-08,51.2588855668467,0.0219366352685547,0.181671570053335,8.06467287104884e-05,1.45212388582304,0.000975624271520037,2.34483314941068,0.00176964759640968,103.991221795713,0.135746822961712,2.62478369098834,0.000538925557940341,424768,1685,424768
