"zone","doymin","mean_pai","se_pai","mean_pai_toc","se_pai_toc","mean_pai_us","se_pai_us","mean_modis_lai","se_modis_lai","mean_meanpavd","se_meanpavd","mean_sdvfp","se_sdvfp","mean_nirv","se_nirv","mean_fpar","se_fpar","mean_apar","se_apar","mean_sif743","se_sif743","mean_sif743_cor","se_sif743_cor","mean_sif_par","se_sif_par","mean_sifs_par","se_sifs_par","mean_sif_parm","se_sif_parm","mean_sifs_parm","se_sifs_parm","mean_sif_apar","se_sif_apar","mean_phif","se_phif","mean_phifm","se_phifm","mean_fesc","se_fesc","mean_pri_nar","se_pri_nar","mean_cci","se_cci","mean_sif_rel_tropo","se_sif_rel_tropo","mean_ndvi_tropo","se_ndvi_tropo","mean_nirv_tropo_refl","se_nirv_tropo_refl","mean_nirv_tropo_rad","se_nirv_tropo_rad","mean_phifm_tropo_rad","se_phifm_tropo_rad","mean_phifm_tropo_refl","se_phifm_tropo_refl","mean_phif_tropo_refl","se_phif_tropo_refl","mean_fesc_tropo_rad","se_fesc_tropo_rad","mean_fesc_tropo_refl","se_fesc_tropo_refl","mean_sif_fesc_mod","se_sif_fesc_mod","mean_sif_fesc_tr","se_sif_fesc_tr","mean_iprec","se_iprec","mean_vpd","se_vpd","nsif","npai","nsifparm"
"I",1,4.29499768539214,0.0412029456459085,1.50157373933725,0.0542650679426459,2.56370047784187,0.0229437637138872,5.99041482764231,0.0679597472035607,0.0294941572708563,0.000534325489174441,0.0584993595388574,0.00110537494549046,0.267940779806862,0.00228197272857061,0.882375745706155,0.00325624645457485,146958.364840119,1784.84918343665,1.46147453407167,0.0560229237676832,0.506119599644567,0.019832682711009,3.05650792278785e-06,1.25299283603225e-07,8.82172098783236e-06,3.52785148045683e-07,6.42423916280804e-07,2.73427944243972e-08,1.85479851580514e-06,7.70951228366817e-08,3.47842760583198e-06,1.46950738201048e-07,1.14017274692127e-05,4.60094106493346e-07,2.39286406518268e-06,9.91653182910891e-08,0.304220728009594,0.0033013240653193,-0.0870750270469088,0.000924344670799298,0.171083209185476,0.00397522138258285,0.00501863208003191,0.0001851488684353,0.506109570623036,0.0110656490782433,0.152177209066175,0.00374396386900498,50.7383645652464,1.18259492283508,1.26813758228203e-08,4.9639811944461e-10,4.24368919476979e-06,1.72572819745081e-07,2.03981056096865e-05,8.91710532615949e-07,57.6403565430476,1.41511230287853,0.172909322813716,0.00447879410278777,1.65969761957593,0.0623121678991111,2.95026719037795,0.111550792475572,107.451171052288,7.96210324433954,2.38507016933838,0.0237084030713674,71,71,71
"I",17,3.93381395011113,0.0838905136135993,1.32363879886167,0.0579095849577484,2.36561426109281,0.0472517138878126,6.123589299191,0.0642794023358576,0.0278933711414193,0.000601229536571018,0.055155870151417,0.00119051688962355,0.265400935178516,0.00226784472242069,0.883391761916807,0.00393895177555673,161647.183016216,1990.62798352933,1.4296690718881,0.0423995768437265,0.484257176432801,0.0144798010713053,2.68119255786907e-06,9.06433824298398e-08,7.90270789009817e-06,2.60115078575337e-07,5.89423100448716e-07,1.88704718505126e-08,1.73944135754837e-06,5.48124571993381e-08,3.03295766039746e-06,1.00681346042456e-07,1.01123498505435e-05,3.41156194648236e-07,2.22476086899648e-06,7.15299388290056e-08,0.300538355593042,0.00247295505929497,-0.0833900036482975,0.00112617556878433,0.160562753645775,0.00388424228633304,0.00460121594601315,0.00014360352601802,0.59013423268143,0.0184952704305441,0.184218965091941,0.00635390221179087,62.8430486124557,2.16005648419003,9.94456580427154e-09,3.59672287694775e-10,3.39463287055478e-06,1.23297960116612e-07,1.53576483179758e-05,5.5952178489893e-07,71.1350190692128,2.41563226535034,0.208560539834398,0.00711040036795523,1.61318663364823,0.0483096893125811,2.45600973561264,0.0833553523211015,57.0683630526751,3.97931725696386,2.48086300401317,0.0192704914706177,87,87,87
"I",33,4.32206809180123,0.0431704590769586,1.55841885932854,0.0610812703987798,2.570586340768,0.0320805643224846,5.57402518817357,0.122811112844269,0.0297767455556563,0.000493730838198827,0.0591833743133715,0.0010027581581434,0.259115905846868,0.00263469248625763,0.854090471778597,0.00926795293613629,161067.807215153,4194.35095665849,1.34408456613975,0.0539984309755863,0.452006234973669,0.0183208989725763,2.45542059518331e-06,1.10634970640379e-07,7.28873588924266e-06,3.21082680896926e-07,5.27612111295081e-07,2.38132936777946e-08,1.56687448246258e-06,6.93208904829296e-08,2.98768710172578e-06,2.0457343919849e-07,9.35624446492726e-06,3.67823245748321e-07,2.01258027406204e-06,8.01500206129662e-08,0.30892989993476,0.00831967076287548,-0.085543130338192,0.00135655678762487,0.157219643944613,0.0037327811868749,0.00433414143407092,0.000163753604828593,0.529901884829518,0.0149716428319696,0.160365856651369,0.00504063997923241,54.8969108968538,1.62505224042222,9.74492214545226e-09,4.18683035921811e-10,3.3559200490428e-06,1.47058468561451e-07,1.57044818459722e-05,7.21014202641852e-07,66.1337335822324,3.64286133574264,0.193091648727256,0.0107627868203191,1.4741903179124,0.0556424697540404,2.42421365645407,0.0878567891490249,75.9572192328317,7.67729041828014,2.67460794456929,0.0457257182772413,70,70,70
"I",49,4.00693420569102,0.126626329647168,1.39427723818355,0.101797929191756,2.38200612862905,0.0740531022365638,5.71039528316922,0.233793900018097,0.0286853473840488,0.000994035007833181,0.0571548580709431,0.0020313137079849,0.279806973205672,0.0055045724076637,0.860118097729153,0.0116957357346825,141581.37536443,6607.48548035797,1.32945932944616,0.0988356818377782,0.449938433037864,0.0344185436795933,2.93316597532172e-06,3.26505561248279e-07,8.65557517268436e-06,9.43490670643437e-07,5.42789981959927e-07,5.548592783852e-08,1.60241333999406e-06,1.59632534826182e-07,3.37861685474939e-06,3.57071338177858e-07,1.03857619242395e-05,1.10405930638263e-06,1.92309415619897e-06,1.83699135267758e-07,0.326120397327592,0.00726553238110709,-0.083203980492221,0.00210117564461181,0.166927004572474,0.00788390919107133,0.00423582027277711,0.000268868046696801,0.581124045822679,0.0245039818634411,0.175988415751713,0.00682812861255095,60.8652998248269,2.22489345953115,8.96980130690919e-09,9.01825527681912e-10,3.1138336998557e-06,3.18809309254581e-07,1.68177173932131e-05,1.92034501133456e-06,70.7351801195502,2.48573119677319,0.204488629720891,0.00764355463587796,1.38207808309403,0.105192492520206,2.22481183358615,0.178952223732591,66.2298852403959,16.8566285154612,2.4685179106352,0.0546657837688913,18,18,18
"I",65,4.2313757352531,0.0603338105647844,1.55448052473366,0.0575712422978375,2.47086171247065,0.035609822287262,6.01866525784135,0.0790606150113863,0.030006476881681,0.000439079719548401,0.0595991665613838,0.000878854149796305,0.274042663862929,0.00238491463784454,0.877776798792183,0.0037394893094083,151036.665221966,3563.39511588214,1.23908134922385,0.0528072544767528,0.419982144725509,0.0181358404386448,2.52509556904271e-06,1.24095909882564e-07,7.44718711001313e-06,3.61926816055986e-07,5.15940458580451e-07,2.27423335920452e-08,1.52164843318037e-06,6.59848205039675e-08,2.88550136662097e-06,1.4502918686854e-07,9.25195527266351e-06,4.64849999955526e-07,1.88870389021397e-06,8.3038195800019e-08,0.312696949685478,0.00330576256611307,-0.0822304719767999,0.00135030446041896,0.15954814548883,0.0044273679208182,0.0039764776874639,0.000176919833616159,0.486308288615756,0.0134339830624291,0.147124304585879,0.003756459243307,51.2765179021473,1.22862098269394,1.01042635623608e-08,4.32319390535039e-10,3.52265454433089e-06,1.48107627090698e-07,1.72748700943045e-05,8.41896904492981e-07,58.4301554341685,1.37208542226375,0.167643895025613,0.00419881702400318,1.34729768565986,0.0579540846909264,2.5077944338912,0.0988575158545534,153.656165286899,12.3280187220282,2.38155932442748,0.0238570934715169,64,64,64
"I",81,4.14870213834863,0.0552045899767634,1.32501754164696,0.0800343389631142,2.58198243693302,0.0323230556538527,6.16658727746261,0.0646592209395566,0.0317193838326555,0.000860930198338717,0.062682063269772,0.00176286195173836,0.271112801997285,0.00249470067531254,0.885167335209094,0.00321500181701217,147054.385093091,4331.97322724839,1.43261800078969,0.0764975294620379,0.492952205632862,0.0267461816636037,3.07295354840551e-06,1.93405421682528e-07,8.93241263895725e-06,5.5561070531449e-07,6.36585068598358e-07,3.51955327692134e-08,1.84998257101205e-06,1.00760759240617e-07,3.47095385307125e-06,2.18245194978603e-07,1.13487571176214e-05,7.10612457435965e-07,2.34640884276269e-06,1.27099764356454e-07,0.306345775766636,0.00276306412132167,-0.0850332230329514,0.00126542959385325,0.177364402109445,0.00448556713842032,0.0046452280120752,0.000235173258882398,0.518812172655287,0.0178266258210714,0.164833834092413,0.00619743367728614,54.8075174086661,1.88240101985329,1.17838451727901e-08,6.27555811005067e-10,3.94766913933858e-06,2.17998622138021e-07,1.93074686441689e-05,1.30313064223646e-06,61.9433329859547,2.1246102043747,0.186290726193561,0.00698483237581923,1.60903813552631,0.0856176215281386,2.70484390160242,0.14594029436411,133.058397669541,8.80475797216142,2.41749102205632,0.0266277756178981,38,38,38
"I",97,4.23214098490202,0.0558605749050605,1.59444891856267,0.0648984980393024,2.4817334651947,0.0241827276910429,5.77193824327909,0.0741941705028199,0.0303866378103311,0.000479055039161077,0.060494619837174,0.000959780186163033,0.260421417768185,0.00245098151434601,0.87376969227424,0.00367430094969407,135116.342772588,2840.3957422678,1.18371903529534,0.0452257397371997,0.411642008332106,0.0160124439308283,2.73512869309126e-06,1.1831529748727e-07,7.86209268510925e-06,3.33201284531207e-07,5.49462218784414e-07,2.13630313902776e-08,1.57979448692369e-06,6.02406388591205e-08,3.12978850345899e-06,1.33795202909685e-07,1.05816030224864e-05,4.80418400201783e-07,2.11801190093888e-06,8.27602652763678e-08,0.298071883328231,0.00251906341654691,-0.0833726635346046,0.00156440764098316,0.160321038506979,0.00508179170076988,0.00427109340745598,0.00015321883590881,0.511160580924388,0.0113110065615714,0.15646911276138,0.00346758182606213,48.8228972936761,0.981863976702982,1.13435004135278e-08,4.12211645224803e-10,3.55642690011229e-06,1.32529595013756e-07,1.76611717370418e-05,7.09449448274628e-07,55.9014623826577,1.11580356156338,0.179155330185858,0.00394703407893927,1.38304343347023,0.0523670090566404,2.32917448544718,0.0873430788377435,114.16231704125,5.96940695422062,2.33233995440875,0.0115761270481312,65,65,65
"I",113,4.07826426349969,0.0369599339546136,1.44032311870391,0.0327948689122703,2.43751272212071,0.0190199539635786,5.80415093372146,0.026758499732601,0.0292813948404238,0.000257418533709837,0.0578157143240952,0.000527385881579576,0.25655844616124,0.0011261372179115,0.879636135924772,0.00152435326341598,154089.176744111,1272.63635649144,1.2374442362163,0.0227018970544507,0.425896154230378,0.00787565993222355,2.46290547593652e-06,4.89133774155382e-08,7.15259897384578e-06,1.40450514048747e-07,5.56721390790944e-07,1.07531181576424e-08,1.61758818939488e-06,3.10469360408839e-08,2.80100108117982e-06,5.61321522677067e-08,9.60350858266344e-06,1.91412862085733e-07,2.16709498684023e-06,4.1099696769292e-08,0.291766381520958,0.00127994291355428,-0.08974144706525,0.000490583965306423,0.169983054159899,0.00194469991466332,0.00478093364908403,8.78579132418081e-05,0.509193701240679,0.00609549926540206,0.149322836962284,0.00160653299812823,45.0411516303047,0.457028765278358,1.24568073390088e-08,2.40273943496256e-10,3.77586299833889e-06,7.6376973956479e-08,1.67893775543811e-05,3.70627414913508e-07,51.2212892357164,0.523318358601509,0.169740354579282,0.00180777861554067,1.45806816729857,0.0262264925771367,2.54032432177897,0.048840364808563,89.2341641230756,2.85070743191734,2.41587727385248,0.0100493325567087,249,249,249
"I",129,4.12816694606753,0.037752602432037,1.50414548094439,0.0302802277187958,2.45184102321372,0.0188626716210655,5.55458323184182,0.0224546319091885,0.0293304067789851,0.000245404968426889,0.0579383598366643,0.000489629339803904,0.249515654146671,0.000858318938781449,0.880629695338361,0.000991330743325255,150881.803574766,1002.07300753982,1.13396402486627,0.0208105683630363,0.389915486858637,0.00718020828746927,2.31500546577826e-06,4.60162576483474e-08,6.73057064067717e-06,1.33168544653881e-07,5.44691114281702e-07,1.00086382701528e-08,1.58371434584273e-06,2.89512493278896e-08,2.63304018015041e-06,5.29821168453613e-08,9.28095117379871e-06,1.84053684307184e-07,2.18827440185616e-06,4.09986249364318e-08,0.283384193230838,0.000961817556274998,-0.0884874878232093,0.000488108547802628,0.167124431180533,0.0015619192483457,0.00470789622401642,8.59304458949494e-05,0.517432868890354,0.00530920312738826,0.149638822183441,0.00151352817305827,42.6855534008676,0.418133780696998,1.28836902420061e-08,2.44747997441653e-10,3.69298581946271e-06,7.23270317581515e-08,1.56632217362409e-05,3.23663688604009e-07,48.4724211626106,0.47294774000413,0.169886142795179,0.00170120419182413,1.3753260038784,0.0250045543179889,2.31734476780872,0.0434074148157531,65.079844141357,2.74028044532312,2.47975447416766,0.00896650196996227,340,340,340
"I",145,4.07331567164707,0.0255832188973588,1.4103053863816,0.0224367651133975,2.45138184694735,0.0142361643861167,5.5970157372271,0.014873100309494,0.0298546912378964,0.000198851337538159,0.0587024996411567,0.00040476774882556,0.249072221696503,0.000662280710651009,0.886264581508919,0.000762613456983495,180565.267715444,808.031716503414,1.17556414686254,0.0158914347929572,0.398271221821108,0.00545774656040434,1.98152271217924e-06,3.0138530120329e-08,5.84464017369401e-06,8.72403562692889e-08,4.9533585063998e-07,7.1615933535535e-09,1.4612975499218e-06,2.07394742591385e-08,2.23838489530798e-06,3.44464147780528e-08,7.92609044933826e-06,1.14575952800678e-07,1.98414759114433e-06,2.77107524356269e-08,0.281117103037973,0.000774240857531714,-0.0898937376621662,0.000302191418260089,0.166187629175152,0.00130051332475967,0.00503773722586395,6.57862246762026e-05,0.563886305515443,0.00585553919735995,0.156910354611766,0.00142595956186281,44.0466838161419,0.384877082732645,1.15949912620444e-08,2.01099703405277e-10,3.27414959646959e-06,5.92258542967755e-08,1.30619774878778e-05,2.38805610746514e-07,49.6792693816868,0.426633737456349,0.176940388409971,0.00157544049416382,1.41462038787824,0.0187657545694074,2.31457797867961,0.037688603986683,31.5852264398226,1.89264826844385,2.67118229181139,0.00911509363743117,473,473,473
