"region","truedate","mean_dsif740","se_dsif740","mean_sif740","se_sif740","doy","ndsif"
"all",2019-07-28,0.479453725484495,0.00160444212455086,1.08062328192031,0.00378306716617787,209,11606
"all",2019-08-29,0.45177010756272,0.0017590724226146,1.03482032011478,0.00408906595602072,241,18265
"all",2019-09-14,0.417762488970982,0.00245687591659072,0.940790429150458,0.00566596974376492,257,5154
"all",2019-09-30,0.558162649830217,0.00231138163269453,1.28373392254892,0.00567659513040356,273,8888
"all",2019-11-17,0.592070006546421,0.00228771568619394,1.78770705624086,0.00688953523444585,321,8828
"all",2019-12-03,0.612143537315585,0.00425555921057879,1.60126581033732,0.0117259619724072,337,4820
"all",2019-12-19,0.559299796781891,0.00169296327954332,1.47638623200115,0.00463840997692218,353,17346
"all",2020-01-01,0.575192580468369,0.00113848708436538,1.5296094150788,0.00320758597295794,1,38741
"all",2020-01-17,0.508542590246546,0.00185958832624489,1.23895817979415,0.00520936609374498,17,15224
"all",2020-02-02,0.692364043548328,0.00959846762113409,1.84667746359561,0.0260409835935458,33,952
"all",2020-02-18,0.553006925315156,0.00134320948251233,1.5783275342904,0.00412126138763725,49,26467
"all",2020-03-05,0.540399019665405,0.00172517080099348,1.36017369739153,0.00492456548623196,65,18391
"all",2020-03-21,0.52078207377027,0.000976450628839517,1.46848272867303,0.00302511127525972,81,44023
"all",2020-04-06,0.495595157999302,0.00338727905532207,0.888995976819522,0.00622561448744462,97,3774
"all",2020-04-22,0.492845173415369,0.000967087082515404,1.37049340320121,0.00289702788009952,113,39914
"all",2020-05-08,0.373582829171277,0.00199816192037142,0.811161528824424,0.00454123880008514,129,14224
"all",2020-05-24,0.45732065081499,0.000925667522095001,1.25634899127948,0.00262182889238494,145,51623
"all",2020-06-09,0.449911694803166,0.00146664008809868,0.947638247806897,0.00319020466949244,161,13762
"all",2020-06-25,0.40399111552221,0.000699656915595546,1.14415859878387,0.00202620503663713,177,78804
"all",2020-07-11,0.359843657216049,0.00162415572769469,0.894477924083424,0.00456655928003422,193,15157
"all",2020-07-27,0.475503422451077,0.000737029788691693,1.37791904140503,0.0022881155017144,209,51766
"all",2020-08-12,0.442918411668205,0.00127927562870148,1.08394712969378,0.00347420140862115,225,29101
"all",2020-08-28,0.462760127722651,0.000729454150978463,1.27758973859167,0.00226787419744466,241,66392
"all",2020-09-13,0.481220836349478,0.000991893102909052,1.26226453799524,0.00308537005877344,257,43552
"all",2020-09-29,0.568175902039649,0.000977423266763548,1.51088921609004,0.00303844583230458,273,48693
"all",2020-10-15,0.550758811085264,0.0011178883596992,1.45647092524124,0.00330859682212633,289,32777
"all",2020-10-31,0.588047088908786,0.0012689602021714,1.51217620027732,0.00348142663352564,305,31882
"all",2020-11-16,0.630774312544602,0.00120158238834716,1.72095195978764,0.00352181988300445,321,34181
"all",2020-12-02,0.566125624963121,0.00181315604937225,1.39484392002847,0.00465400997686871,337,16096
"all",2020-12-18,0.552298350634656,0.00139945205694359,1.46990628460721,0.00399902824377201,353,24931
"all",2021-01-01,0.596378119929248,0.00158390039604201,1.42782401172243,0.00406006586330511,1,22952
"all",2021-01-17,0.614634505645862,0.00134257068098207,1.78667731922623,0.00419299909720715,17,29043
"all",2021-02-02,0.506528016201326,0.00222254239185741,1.04964521127997,0.00496757053200268,33,9173
"all",2021-02-18,0.536140694174058,0.00112996055279717,1.44803398093127,0.00345632061110582,49,36500
"all",2021-03-06,0.469801974137842,0.00189678893288135,1.0790765176918,0.00454328523882127,65,15020
"all",2021-03-22,0.561742106922549,0.00106950359564781,1.61769110542403,0.00326469981365893,81,37390
"all",2021-04-07,0.487853269738746,0.00151409241488914,0.970159857930196,0.00312468794448339,97,16099
"all",2021-04-23,0.456843614737043,0.00114343868246825,1.26560856698982,0.00306153138048811,113,46545
"all",2021-05-09,0.376438375532294,0.00153780244046578,0.845063512316442,0.0037079985302817,129,16443
"all",2021-05-25,0.449717711934524,0.000723022749102555,1.28122864094904,0.00218558129738797,145,68087
"all",2021-06-10,0.42637910920923,0.00105762772452565,1.01041056006041,0.00266993580436674,161,22978
"all",2021-06-26,0.419395092520462,0.000788232537889671,1.20847368194886,0.00245080479194955,177,51383
"all",2021-07-12,0.370752841169812,0.000951275750166317,0.99139051094048,0.00276938534484953,193,36110
"all",2021-07-28,0.476834125587595,0.00187353701627693,1.12669521042832,0.00500518926480096,209,9426
"all",2021-08-13,0.487969990198362,0.00119608404818291,1.36643036065551,0.00382572187240943,225,25643
"all",2021-08-29,0.447056211406116,0.000834443082356091,1.19139637702468,0.00245552242420105,241,59104
"all",2021-09-14,0.478069623068473,0.00098090221825514,1.27862525949319,0.00307888125286141,257,48424
"all",2021-09-30,0.591290351706077,0.00128293490453728,1.55132413306899,0.00381485521802834,273,26582
"all",2021-10-16,0.577335768240927,0.00107732567675434,1.53492105215642,0.00337488258683716,289,42544
"all",2021-11-01,0.604344684527326,0.0012840171886336,1.5737427849864,0.00362486962729299,305,32378
"all",2021-11-17,0.613942996564816,0.00109876923157291,1.72552193309118,0.00330304907840027,321,43538
"all",2021-12-03,0.552007524166947,0.00269330857964953,1.29653751687433,0.00654029087360085,337,8646
"all",2021-12-19,0.560478405936414,0.00143977803677014,1.55588868584896,0.00429383280796598,353,23519
