"region","doy","mean_ndvi","se_ndvi","mean_cci","se_cci","mean_pri","se_pri","mean_cire","se_cire","mean_car","se_car","mean_chlcar","se_chlcar","n_per_date"
"all",1,0.736975880016957,0.000188542940267795,0.134673635218451,0.000120079908837795,-0.0210581673737787,4.57037469357721e-05,2.3175568640266,0.00140366717734877,3.3640780804531,0.00454398716935337,0.851039403725412,0.00176985834222006,99963
"all",9,0.73818438008019,0.000148783305132566,0.126645177219565,8.93862035095366e-05,-0.0251856684549062,4.33019088156226e-05,2.33287960396947,0.00108629102556607,3.77116744470709,0.00457128489739146,0.788659373217919,0.00131314494613672,159128
"all",17,0.739333938353265,0.000147976415759341,0.131204056352346,8.71769829759283e-05,-0.0249773004178054,3.87133677902003e-05,2.34964364785514,0.00102328797696773,3.7502831522332,0.00422013911668687,0.79166441048983,0.00115919380571194,182323
"all",25,0.733041531592614,0.000153179193988134,0.132324070287958,9.6870114311766e-05,-0.0223685498855908,3.58899667491018e-05,2.29620597298115,0.00107839768054345,3.44415685970479,0.00393401785212954,0.832985942318411,0.0012564684756839,173022
"all",33,0.713764128270769,0.000211383931628103,0.121384947819784,0.000132968263780929,-0.0196670664378272,4.60007287467084e-05,2.20088242427181,0.00147982048638718,2.99594374046347,0.00453561734975931,0.923597393963446,0.00176651707190476,107967
"all",41,0.715325100043374,0.000218998113215516,0.126994244568069,0.000126239851656179,-0.017304078482151,4.74704987021005e-05,2.23118864882637,0.00146376525528331,2.99197419580458,0.0049692160853348,0.995043220532113,0.00200873131007546,109764
"all",49,0.720082086435347,0.000190304292899838,0.126087367558187,0.000115030581932716,-0.0193427805167309,3.91664911145342e-05,2.26307668487571,0.0013067770943998,3.14142386787848,0.00433455261273379,0.902313416725293,0.00146441347454471,135361
"all",57,0.706918060059431,0.000201841164024389,0.115609193470649,0.000109134651585048,-0.0205986319467691,4.38265312624974e-05,2.16959339426984,0.0013118223226843,2.90323776470598,0.00424901367538277,0.932369269326247,0.00160834552067212,112647
"all",65,0.718221808055962,0.000163187690566524,0.125699996163962,9.57178789506463e-05,-0.0186008140187006,3.57718896729983e-05,2.25262066942108,0.0011104536214365,3.08048909939518,0.00383697008691992,0.982524526050938,0.00154796650755452,197405
"all",73,0.720945238330523,0.00014517950977945,0.121613262847656,8.62108680347383e-05,-0.0208303333405476,3.24817210777408e-05,2.2505966803485,0.000983844824827523,3.22088015522905,0.0035701614305192,0.890411034899889,0.00117981786473744,217525
"all",81,0.711571498525599,0.000166792059666733,0.120311625025841,8.9827932472728e-05,-0.0190243601008555,3.71658336234095e-05,2.17910990494008,0.00109707125017103,2.97617139172716,0.00382942912471786,0.992329085524608,0.00174843293389462,175231
"all",89,0.720197969457816,0.000273043161603786,0.114197074680742,0.000149668962229217,-0.0253675232092336,6.59398486654451e-05,2.20538592343322,0.00179849537044802,3.60810352944929,0.00780692241029762,0.832932019348836,0.00213693294138047,71523
"all",97,0.71469937388506,0.00015124817665939,0.118594007356421,7.9605765558913e-05,-0.0214040995465191,3.25090300240956e-05,2.17431487276927,0.000978376592707289,3.15246668764748,0.00370116054405014,0.927913248734967,0.00137269183623335,225316
"all",105,0.731431647716297,0.000142131359224045,0.123392613615479,8.27722062962777e-05,-0.0246258312901628,3.32054079935961e-05,2.26139795529539,0.000968719899176272,3.60307708027206,0.00373221335600198,0.810597365263256,0.00114040745262072,228337
"all",113,0.734378138036695,0.000128243422572468,0.123627149155448,7.71637495265083e-05,-0.0273980223644052,2.74307375818724e-05,2.24481740150324,0.000863646009403439,3.74827016277849,0.00324715917520123,0.721170441676749,0.000799450607090326,254545
"all",121,0.745575072618868,0.000129069013831757,0.130001291964242,8.82039261792556e-05,-0.0289932107510164,3.33447326043784e-05,2.29352952272474,0.000920066455425243,4.04857477755083,0.00383959983236783,0.670132493449926,0.000848273571496037,183632
"all",129,0.738808016217823,0.000130530313250175,0.121103126081811,8.59052269417924e-05,-0.0309223105967016,3.48421555916934e-05,2.23196220387989,0.000904044942292335,4.06818457395822,0.00408578234420907,0.649342876721964,0.000739441986192213,189989
"all",137,0.749702071463544,0.000128560975998644,0.130727812213389,0.000102248723452965,-0.0314311386941097,4.02370303907559e-05,2.27989867479721,0.000910684073314472,4.33229039238088,0.00429798646836651,0.629979989377967,0.000804728784079501,184031
