"georeg","doymin","mean_sif743_corj","se_sif743_corj","mean_sif743j","se_sif743j","mean_sifparj","se_sifparj","mean_sifsparj","se_sifsparj","ndsif"
"NWA",1,0.489734796082127,0.000584864789009082,1.41081399361852,0.00164127207899236,5.52757696685482e-07,8.97574451979227e-10,1.59413664092587e-06,2.57082951425631e-09,81051
"NWA",17,0.491127934351091,0.00073653780423615,1.42489633718802,0.0020801636199649,5.9477760998722e-07,1.26968040556529e-09,1.72621231393107e-06,3.64652644437716e-09,55117
"NWA",33,0.483897108973973,0.000610382810622953,1.42224488988416,0.00175216537894231,5.6740988560765e-07,1.05912782537097e-09,1.66619872145563e-06,3.0672030557478e-09,67944
"NWA",49,0.443067092528704,0.000670212578880358,1.30017668473704,0.00192998475797097,5.41138792042364e-07,1.14167388308257e-09,1.58732991142612e-06,3.30915833499161e-09,62090
"NWA",65,0.476364623321603,0.000763903108562482,1.38895436381887,0.00219177458368091,5.90006999377694e-07,1.41910491031718e-09,1.72165936005553e-06,4.13163767205789e-09,58134
"NWA",81,0.431246462554655,0.00055353955592762,1.256353596773,0.00159759699003592,4.88917558009332e-07,8.53099157931266e-10,1.42516962355881e-06,2.48782708367054e-09,65487
"NWA",97,0.421375704392483,0.000529644594284047,1.22569549361482,0.00152723357289192,5.05682558163866e-07,8.74060009756037e-10,1.47060665171605e-06,2.52634216446191e-09,76498
"NWA",113,0.41217070920684,0.000486738763421662,1.19179530959326,0.0014005419576205,5.34408722173032e-07,1.0042107678807e-09,1.5467543305493e-06,2.9257463096588e-09,75814
"NWA",129,0.404537236935558,0.000530239370834343,1.16980646794064,0.00152188498562657,5.4870625733052e-07,1.09178184877278e-09,1.58723860718773e-06,3.15636564539097e-09,78469
"NWA",145,0.417316007251586,0.000458860522342787,1.20965839931542,0.00131950672012987,5.76970952270504e-07,9.93156652278777e-10,1.67399829469068e-06,2.88716098072025e-09,88641
"NWA",161,0.418121252840326,0.000442915823494453,1.22382256281718,0.00128685448555577,5.61337743596631e-07,8.79473359823109e-10,1.6432450244431e-06,2.57139653244431e-09,88470
"NWA",177,0.408799052417764,0.000468659831776874,1.20097877425848,0.00136850777071331,5.56059489256397e-07,8.97039371804941e-10,1.63414620229959e-06,2.63620611456267e-09,82063
"NWA",193,0.424184463245292,0.000447842895826013,1.25258371105256,0.001315827978172,5.59642800160423e-07,1.02694167048871e-09,1.65239480902965e-06,3.02586076508638e-09,81657
"NWA",209,0.422796175900158,0.00041486337066444,1.24155767847379,0.00121206489912824,4.86222627430893e-07,6.4418700546337e-10,1.42785330079958e-06,1.88694187294068e-09,84144
"NWA",225,0.427359486912433,0.000484399843261495,1.24417532140056,0.00139521658314882,4.94508834655013e-07,8.45212250790431e-10,1.44058830517041e-06,2.45783736394371e-09,80874
"NWA",241,0.461655865397964,0.000514804995570072,1.33297491359794,0.00146367439243723,5.26163263003926e-07,8.95653969009871e-10,1.51859678782313e-06,2.56691890099368e-09,80177
"NWA",257,0.488478048495458,0.000492189436343219,1.39042002281569,0.00136961879379643,5.43329534080443e-07,1.04426373902742e-09,1.54647579420753e-06,2.95144951821786e-09,86802
"NWA",273,0.524287940661714,0.000486393568047164,1.46930818645801,0.00132694669192856,5.67884370763619e-07,8.82395754311608e-10,1.59138548668875e-06,2.44070839374856e-09,93142
"NWA",289,0.583414578675901,0.000620897653790542,1.6173512384694,0.00166583548370475,6.9746840277716e-07,1.16912837852638e-09,1.93483638197189e-06,3.22197368368792e-09,81025
"NWA",305,0.601356903751638,0.000905599643533242,1.65839303704744,0.002397487929386,7.11864872960964e-07,1.44805714826876e-09,1.96492127616413e-06,3.9412446318784e-09,55542
"NWA",321,0.539773565106904,0.000795751009485081,1.5179996310288,0.002184319265116,5.93115583836614e-07,1.11703767764395e-09,1.66819489156359e-06,3.09071739515018e-09,49719
"NWA",337,0.528280083133887,0.000950574566034442,1.49486796557698,0.00260717106490692,6.61576791313027e-07,1.69770964738054e-09,1.87120622904396e-06,4.7330222740062e-09,38992
"NWA",353,0.552310154642695,0.000844930650593953,1.57475898186947,0.0023229116805282,6.41157887560721e-07,1.3393596085767e-09,1.82952119318136e-06,3.79000103516559e-09,46521
