"georeg_agg","doymin","mean_pai","se_pai","mean_pai_toc","se_pai_toc","mean_pai_us","se_pai_us","mean_modis_lai","se_modis_lai","mean_meanpavd","se_meanpavd","mean_sdvfp","se_sdvfp","mean_nirv","se_nirv","mean_fpar","se_fpar","mean_apar","se_apar","mean_sif743","se_sif743","mean_sif743_cor","se_sif743_cor","mean_sif_par","se_sif_par","mean_sifs_par","se_sifs_par","mean_sif_parm","se_sif_parm","mean_sifs_parm","se_sifs_parm","mean_sif_apar","se_sif_apar","mean_phif","se_phif","mean_phifm","se_phifm","mean_fesc","se_fesc","mean_pri_nar","se_pri_nar","mean_cci","se_cci","mean_sif_rel_tropo","se_sif_rel_tropo","mean_ndvi_tropo","se_ndvi_tropo","mean_nirv_tropo_refl","se_nirv_tropo_refl","mean_nirv_tropo_rad","se_nirv_tropo_rad","mean_phifm_tropo_rad","se_phifm_tropo_rad","mean_phifm_tropo_refl","se_phifm_tropo_refl","mean_phif_tropo_refl","se_phif_tropo_refl","mean_fesc_tropo_rad","se_fesc_tropo_rad","mean_fesc_tropo_refl","se_fesc_tropo_refl","mean_sif_fesc_mod","se_sif_fesc_mod","mean_sif_fesc_tr","se_sif_fesc_tr","mean_iprec","se_iprec","mean_vpd","se_vpd","nsif","npai","nsifparm"
"NWA",1,4.47306213733998,0.0427689730905895,1.94994838504081,0.0376464512442268,2.39616392774785,0.020098898720157,6.31276933183061,0.0410860379397853,0.0277794515515896,0.000281808673753144,0.0553479911165034,0.000579059994473597,0.260061244381235,0.00150882297746438,0.894229573138217,0.00145718018092391,159720.74592505,2918.63895209506,1.36718824030237,0.0422763826126534,0.474424922957699,0.0149402861069576,2.79126417737903e-06,1.2645677866135e-07,8.03789272822694e-06,3.61277536243328e-07,6.30888769053113e-07,2.25588281385621e-08,1.81659034827504e-06,6.37525278223445e-08,3.12045284990366e-06,1.41267089856964e-07,1.06603402006412e-05,4.52027415487565e-07,2.41282458181081e-06,7.98001205564922e-08,0.290923786134743,0.00184160020058621,-0.0767448601570535,0.00100089404654443,0.171656743897695,0.00245434109902457,0.00483087863559822,0.000138555715906359,0.549436226883305,0.0109650744494471,0.162246344924688,0.00299961807949283,53.500085724914,0.95799944709302,1.18512630899079e-08,3.8318791394933e-10,3.91690531677822e-06,1.2815269135553e-07,1.72622549877145e-05,7.14922439521041e-07,59.8458657030989,1.08024852152806,0.181489626379923,0.00337756137900506,1.62563076985809,0.0472894928157936,2.65007082742543,0.0786521698543063,52.8186639014711,3.83117095472928,2.35219284609908,0.00961569487775341,94,94,94
"NWA",17,4.45635727420449,0.0313923347171934,1.73133199755102,0.0466268637459675,2.57024942338467,0.0260898531391518,6.3239769153297,0.0605088715710663,0.0296418356883805,0.000454153284169203,0.0591455264366232,0.000908386788012319,0.253987849922851,0.00187229871822791,0.889300077222288,0.00361221779053449,159654.509467748,1178.54915816389,1.16367919230834,0.0364278947858447,0.394257413921878,0.0123449153219099,2.20483872596273e-06,7.32682536886997e-08,6.50582261271083e-06,2.1516583073552e-07,5.00776966897709e-07,1.57588642878784e-08,1.47755415031303e-06,4.6192697698397e-08,2.47459709963912e-06,8.00761329421822e-08,8.68614053653617e-06,2.89225448521347e-07,1.97288418364738e-06,6.22572317648023e-08,0.285693146829114,0.00197862742363204,-0.0832007270073518,0.000871385465166792,0.135096597860632,0.00316559928921101,0.00392620598141779,0.000124389341632526,0.501709319911201,0.0125182822580322,0.148884414950389,0.00334123895932613,50.1559062621897,1.02647514305015,1.01213341028797e-08,3.56724101458685e-10,3.42581213827761e-06,1.25265748850371e-07,1.51193699836392e-05,6.03850387902756e-07,56.4063413957789,1.1378301280776,0.167437272413934,0.00371070227436547,1.38212222120619,0.0435989817634887,2.3977298194166,0.0873030086801661,98.7611482143402,3.61327365172624,2.40094120031477,0.00869778537756771,64,64,64
"NWA",33,4.42620079048344,0.0324069918834817,1.72489615639702,0.0320581085309364,2.54698591838117,0.0212146397113859,6.00298987451147,0.049182895560598,0.0296808385946712,0.000256960653504242,0.0592670186315892,0.000519222244735866,0.261394898788851,0.00133411075505996,0.880865911479856,0.00224564110391052,171979.045040606,1551.27546301751,1.427594689805,0.0319288777717574,0.482584251609982,0.0108659859179206,2.49787975885209e-06,6.15216842041251e-08,7.39154451707101e-06,1.82178626845616e-07,6.08329337935615e-07,1.39065146595628e-08,1.79896808562206e-06,4.05934695572732e-08,2.83981210591196e-06,7.09775970730095e-08,9.52908749007841e-06,2.23613767573972e-07,2.32857412781424e-06,5.32152468419434e-08,0.296998156483354,0.00172549041106026,-0.0749202755386712,0.00094568889133862,0.160033243789527,0.0025097500023335,0.00467201283892398,0.000108441680066089,0.543861484591875,0.00983817483238023,0.163230157135274,0.0024940229233605,55.8256326170246,0.770603757783874,1.109018312368e-08,2.85533031070004e-10,3.81370338561912e-06,1.02529522726666e-07,1.55051768718393e-05,3.91021005319534e-07,63.4401592397322,0.896754676160413,0.185492235799287,0.00288607132646447,1.62221456572305,0.0348076921525201,2.63629706918697,0.0599783066114347,73.4094802356157,4.48291712301666,2.42769061020454,0.00735992320155274,122,122,122
"NWA",49,4.22936750102688,0.0627639535936204,1.37805274451101,0.0766740411431603,2.64615683297853,0.0253271798297565,6.27190744554674,0.0630074573287832,0.0328835279655618,0.000552444160025737,0.0656990750214538,0.00111109547267271,0.282984649007385,0.00253013828588807,0.887398086689614,0.00292852449076089,197839.770675327,4094.34228071211,1.45493822001122,0.0604014852790525,0.487542290139843,0.0203862846234041,2.19982840527828e-06,8.60468335737266e-08,6.56266252147472e-06,2.51895459969969e-07,5.40335685670339e-07,2.23701442827255e-08,1.61210605283178e-06,6.58407849762456e-08,2.47891079594356e-06,9.59983411622561e-08,7.79302913358783e-06,3.11340190111179e-07,1.91366998173086e-06,8.00123352160872e-08,0.319161284352667,0.00348037719459351,-0.081667770908491,0.00102911227651663,0.164164434507485,0.00328382866648762,0.00454970179082427,0.000160857187940177,0.56128443849931,0.0155137577612696,0.172122194982144,0.00461511847631802,59.5572159505604,1.49154404287124,9.2433101841566e-09,4.19993058685435e-10,3.21322319470415e-06,1.51587743183753e-07,1.30033788380175e-05,5.4706839409017e-07,67.1198957872645,1.66693015213408,0.193974030133904,0.00515861738457218,1.53332396973798,0.0657367960027629,2.56972329155704,0.121583819291731,32.4439208056476,1.8004030476374,2.56264148297581,0.00778062290099003,37,37,37
"NWA",65,4.25487371753244,0.0542655045126674,1.48726733993082,0.0690892362454364,2.60003505033605,0.0329130498451182,6.27311319463393,0.0705888292239154,0.0308300728964455,0.000787664269080078,0.0614722087321913,0.001616244337078,0.27574322328848,0.00234611059711161,0.886367066818125,0.00313278751930592,164947.063688302,5075.85636689188,1.37782210769022,0.0913364527096006,0.472466922748615,0.0315685254880952,2.64490781314415e-06,1.9273652321667e-07,7.7114038247002e-06,5.56933923399806e-07,6.19625100368454e-07,4.29300930750612e-08,1.8069716708721e-06,1.24174107572862e-07,2.99681016903615e-06,2.24905429747626e-07,9.59424332607395e-06,6.96583671414659e-07,2.24479304143569e-06,1.55012858836049e-07,0.311240696652604,0.00293835726838525,-0.080247417311458,0.00129197136478029,0.154821079880126,0.0053835924483923,0.00404428317158508,0.000263481617211971,0.529171008254205,0.025228059959845,0.17793800455809,0.0095291968408847,61.1186622642847,3.08292887036482,1.00875811511724e-08,6.35545537529975e-10,3.48795384591504e-06,2.26409620977899e-07,1.51096752042598e-05,1.19868667865745e-06,69.0929642516533,3.58017580010314,0.20118215355193,0.0110602227747704,1.51249486038277,0.0986061611552825,2.35024980521203,0.143352328753579,68.3820417628568,3.95581451692599,2.50591812550003,0.0549097236873895,34,34,34
"NWA",81,4.35772058059429,0.0378820777176651,1.7290351226412,0.0684250824276445,2.44109670869235,0.0333929172588206,6.07075654227158,0.128963137003293,0.0285235837358853,0.000658344161764495,0.0566230836356508,0.00134107402100657,0.265457649169297,0.00317075306813098,0.879694104194641,0.00650172416433548,106837.612998015,1291.47628941124,1.32104809941917,0.0545859446651403,0.454583550321645,0.0188562020711817,3.76403120103803e-06,1.66340824123022e-07,1.09373915930283e-05,4.80333930536375e-07,6.5032649500515e-07,2.68979663250044e-08,1.8893962536952e-06,7.74337712258904e-08,4.27883849382552e-06,1.87248116261074e-07,1.41734376053845e-05,6.13633734052302e-07,2.44853143474395e-06,9.77131640268454e-08,0.30271973492786,0.00564784210096831,-0.0644996136683842,0.00221200871714523,0.162377650982877,0.00596939250814611,0.00404493110915574,0.000172890504316464,0.441289477931175,0.0178605583860191,0.145415701234554,0.00568203773703607,49.518823068209,1.83884756154779,1.34136717344948e-08,5.77357843704993e-10,4.57888661113408e-06,1.99129009876356e-07,2.67884203419017e-05,1.45125721086863e-06,56.3774545741265,2.13190556865571,0.165555949024423,0.00656588136311824,1.5090561610039,0.0639155614844893,2.83947312907491,0.143955515746314,156.488432917102,8.30496029153048,2.37097134487184,0.0148701626852001,29,29,29
"NWA",97,4.18002389839717,0.0593669571736097,1.51732075863651,0.0608602179109797,2.47716992752893,0.0473424046022882,6.07425901549203,0.049606832877364,0.0296049451455474,0.000520816573507973,0.058566195837089,0.00107117067000615,0.261808349830764,0.00164427947578376,0.882731998818261,0.00200930448961063,153538.824494049,1391.53677982256,1.29787412668977,0.0478991615670623,0.444302592958723,0.016715874572458,2.54494954819318e-06,8.89222709026983e-08,7.43660598805304e-06,2.55697383006561e-07,6.02050387101493e-07,2.51096369010747e-08,1.75817866021088e-06,7.18584338287118e-08,2.88527210997843e-06,1.02977283175054e-07,9.75209139016548e-06,3.50622909417277e-07,2.30184662412601e-06,9.60357036405013e-08,0.296732053189919,0.00208790985976928,-0.0750445332378149,0.00124857737609094,0.17288745056937,0.00311137020505824,0.0043512479050353,0.000151902573765863,0.438660243481248,0.0130825636835614,0.133824107104209,0.0031240358053124,44.0974347858312,0.941990447708497,1.38070113555091e-08,5.76662136992928e-10,4.58340190942648e-06,2.01738248154666e-07,1.95110599019416e-05,7.93579832332146e-07,49.9429739084977,1.05475159139154,0.151545212491832,0.00349630744678454,1.49828522992822,0.055409631344975,2.98687084499682,0.120844911492945,145.513233893258,5.67320560968702,2.36843666133,0.00854671522756122,70,70,70
"NWA",113,4.26631809103078,0.0405468057673593,1.67059627123948,0.0412756880298794,2.41174203774025,0.0232977554830191,5.82424465541182,0.0454485920325828,0.028448810351306,0.000382908973921936,0.0561299076432298,0.000781854925107687,0.26147092544827,0.00126817668359194,0.879975116458432,0.00244088584069132,149995.345311124,2408.72164755013,1.18425669855085,0.0326820479126195,0.408805909406008,0.0113395647830756,2.4447795309007e-06,7.57894927843567e-08,7.081668373725e-06,2.18175064162492e-07,5.85156023578599e-07,1.69703501736482e-08,1.69491133548767e-06,4.88606689585656e-08,2.79149588446573e-06,9.23774437854175e-08,9.35453414726651e-06,2.88808215146906e-07,2.23911646054722e-06,6.50817636923624e-08,0.297535886068503,0.00189293285193912,-0.0859885513782501,0.000904391373842518,0.177852613678231,0.00251950361309556,0.00444188803791603,0.000124530976833756,0.505070858150757,0.0110276043631449,0.150709781452815,0.00280378859890077,46.0685615805736,0.770291895962112,1.28413941787693e-08,3.81571247962857e-10,3.957293497027e-06,1.24051740085097e-07,1.67657753804317e-05,6.1860256534385e-07,52.385010030152,0.87740816363073,0.171290656121736,0.00314941875519806,1.37446000345289,0.0374620731606999,2.43387042626247,0.0742895163811087,132.432048041245,8.22941493967329,2.38960017470573,0.00726328439478534,116,116,116
"NWA",129,4.21620723691959,0.044550020875719,1.674669434434,0.0404853469265973,2.35815071249471,0.0219882926170728,5.81081089464206,0.0475044672720574,0.0274941158092138,0.000362608617014288,0.0537453346243761,0.000737740774766185,0.25638551778585,0.00138279964792941,0.880536886094843,0.00198584409119973,162912.103946944,2940.45024764179,1.16072632242175,0.0403996542377601,0.400373320050031,0.0140696718503995,2.28372458412997e-06,1.05605654474244e-07,6.61354089076706e-06,3.01777116029649e-07,6.0869398650661e-07,2.23515790023817e-08,1.76444585115945e-06,6.41877992915546e-08,2.60121237461816e-06,1.22987615091016e-07,8.81478419683096e-06,3.79581108723183e-07,2.3651237383466e-06,8.45568556283477e-08,0.291359884339609,0.00177735573410583,-0.087927524072742,0.000942952656059987,0.175677181334436,0.00293194376018446,0.00436875536040684,0.000147790189406918,0.459052095133503,0.0107174803108519,0.140169396270988,0.00309807067710491,41.4559156072233,0.835042797979981,1.50278351506601e-08,6.09340375876458e-10,4.49172322922492e-06,1.92881233199999e-07,1.67551576893737e-05,8.05533215943505e-07,47.0944352553676,0.94913865737922,0.159205723382531,0.00350474381611685,1.36852244434184,0.0460888306656824,2.58837754102936,0.101021728669207,97.749438498784,5.98043012508086,2.45040962546776,0.0136006144505734,103,103,103
"NWA",145,4.08243720048393,0.0483193095212398,1.51545294164832,0.0373313312173984,2.36630590289247,0.0242920225140368,5.4601833290524,0.0429727293206631,0.028534607973948,0.000283388742860812,0.0560110043612571,0.000558351073366443,0.250620451920173,0.00120233079248599,0.873703752078262,0.00208654224971433,160382.581351743,2394.76582667152,1.16690356883348,0.0308793767552029,0.399284342666053,0.0105796194292059,2.24036327808818e-06,6.75703831204974e-08,6.5427173528518e-06,1.95477021713665e-07,5.98959616247931e-07,1.60931649228987e-08,1.75026772234774e-06,4.6921884567217e-08,2.56641251590382e-06,7.79687162153396e-08,8.93014792094241e-06,2.6809702909145e-07,2.38947696018351e-06,6.42189610898428e-08,0.286974628891252,0.00138815195929341,-0.0846929552849212,0.00106150529856912,0.175862135204465,0.0028619326110447,0.00462623478206501,0.000128142155985935,0.485305535388879,0.00841791759912761,0.144724645597735,0.00213631057706612,41.5889109281044,0.574750430147039,1.44653718614271e-08,3.58046112481982e-10,4.17534484537222e-06,1.0559637172788e-07,1.57350512016608e-05,4.76691474591211e-07,47.6341221754197,0.666310750057018,0.165707386383894,0.0024452276772893,1.39162652668216,0.0371312489032112,2.43126910272629,0.061380800955671,109.098354775921,6.56379475008212,2.54671436051269,0.0111960250580693,153,153,153
