"zone","doymin","mean_pai","se_pai","mean_pai_toc","se_pai_toc","mean_pai_us","se_pai_us","mean_modis_lai","se_modis_lai","mean_meanpavd","se_meanpavd","mean_sdvfp","se_sdvfp","mean_nirv","se_nirv","mean_fpar","se_fpar","mean_apar","se_apar","mean_sif743","se_sif743","mean_sif743_cor","se_sif743_cor","mean_sif_par","se_sif_par","mean_sifs_par","se_sifs_par","mean_sif_parm","se_sif_parm","mean_sifs_parm","se_sifs_parm","mean_sif_apar","se_sif_apar","mean_phif","se_phif","mean_phifm","se_phifm","mean_fesc","se_fesc","mean_pri_nar","se_pri_nar","mean_cci","se_cci","mean_sif_rel_tropo","se_sif_rel_tropo","mean_ndvi_tropo","se_ndvi_tropo","mean_nirv_tropo_refl","se_nirv_tropo_refl","mean_nirv_tropo_rad","se_nirv_tropo_rad","mean_phifm_tropo_rad","se_phifm_tropo_rad","mean_phifm_tropo_refl","se_phifm_tropo_refl","mean_phif_tropo_refl","se_phif_tropo_refl","mean_fesc_tropo_rad","se_fesc_tropo_rad","mean_fesc_tropo_refl","se_fesc_tropo_refl","mean_sif_fesc_mod","se_sif_fesc_mod","mean_sif_fesc_tr","se_sif_fesc_tr","mean_iprec","se_iprec","mean_vpd","se_vpd","nsif","npai","nsifparm"
"I",1,4.1892282011533,0.0343248330772641,1.46017195814938,0.0340770954741225,2.48812894959642,0.0179700682244928,5.57613939147144,0.00344013077554631,0.02871052603322,0.000303338512717934,0.0565614347825899,0.000628052126606066,0.276391448583365,9.39405166942761e-05,0.855465312814209,0.000210093579840101,146618.180246085,89.4563549707965,1.54199812751724,0.00112672847205203,0.535982688845804,0.000405342731814298,3.26482177146409e-06,2.5895607301401e-09,9.39020106604956e-06,7.21743303077578e-09,7.25096286655253e-07,5.72994418018489e-10,2.08784457716521e-06,1.61159104367618e-09,3.56202493081313e-06,5.2503492048577e-09,1.16567036341142e-05,1.1410285035999e-08,2.52947814774877e-06,2.44551521801164e-09,0.310912403746427,0.000174551521155782,-0.0868719004247829,3.48901802570944e-05,0.176656985045917,0.000162336995983044,0.00503302842711342,3.34260465896502e-06,0.517152748445473,0.000317632253447912,0.163756723144774,0.000110543762417713,54.7564888019381,0.0368510331577461,1.37148743844104e-08,1.04699687521689e-11,4.58977891798778e-06,3.53531761099564e-09,2.06217404010966e-05,1.57297110037227e-08,61.8123059955835,0.0727699031664607,0.184571676091234,0.000215561567194537,1.63857731975902,0.00223422889350228,2.84211242925252,0.00337889185608465,123.927098219104,0.152310590868836,2.46166011255145,0.00039549436409176,209797,198,209797
"I",17,4.03005334631128,0.0412198939747036,1.32658052425924,0.0333354346803943,2.45863399947461,0.0245699117196335,5.63066594966605,0.00410273581190576,0.0294060667383656,0.000346503922246746,0.057807281437279,0.000667515066341429,0.27462153173956,0.000108134372153583,0.856000627916518,0.000257376761667761,150214.598699356,111.469317843504,1.54406340244499,0.0012081272612755,0.53133191190118,0.000427861228268623,3.29839657835699e-06,2.98770111896318e-09,9.58236158881678e-06,8.48404315710881e-09,7.09202375511736e-07,5.88944007093595e-10,2.06222075277622e-06,1.67687540170584e-09,3.55137248701875e-06,5.66643307176178e-09,1.16626135100272e-05,1.39800207517146e-08,2.50162177835622e-06,2.72623994165421e-09,0.311693436869253,0.000188063037951377,-0.0859512258754149,4.1650467541255e-05,0.16668944417466,0.000188873217079387,0.00475434611744692,3.45392367509674e-06,0.530074953327493,0.000423363401169809,0.171145743264985,0.000142673395591272,58.8950936345052,0.0492536475774427,1.28124302445858e-08,1.19918673186349e-11,4.40915752932248e-06,4.14145595846704e-09,2.04472571238494e-05,2.00773345587363e-08,71.5012874770787,0.107012935849024,0.207614843159329,0.000307254816499068,1.67488308824632,0.00246147530856091,2.65467241948022,0.00408182481375016,112.818694763897,0.145828097244864,2.45401096548042,0.000452349163966145,166462,201,166462
"I",33,4.21636124743018,0.0301233182077225,1.49696931174725,0.0309678578913579,2.47812256141073,0.0168064214894309,5.21592558426358,0.00506827859762374,0.0286651994250003,0.000249645796457441,0.0565026228903395,0.000513417414346012,0.275607105696917,0.000117850804719972,0.832124386128392,0.000329319863125318,145457.112189711,119.729264154026,1.55798037917737,0.00118589096278856,0.532717320267006,0.000414754620414209,3.30985018200586e-06,2.82950948329643e-09,9.67671504106066e-06,8.10007300255821e-09,7.3115434689613e-07,6.08839410373363e-10,2.1388655582934e-06,1.7492865687247e-09,3.62856780131498e-06,6.84023511562028e-09,1.17201324063449e-05,1.50954223092601e-08,2.53378963223373e-06,3.15830247216923e-09,0.31798844506211,0.00027614173498349,-0.0849410069645238,4.67336827266438e-05,0.167090127592541,0.000211942954720158,0.00465251779156462,3.25406181948455e-06,0.495657589040431,0.000317201916889894,0.161871088135545,0.000120332512325418,56.5672791352733,0.0415629127795761,1.34481217618928e-08,1.10822259783881e-11,4.71014658558549e-06,3.9202759091134e-09,2.1267626527223e-05,1.77345197466814e-08,67.454178102748,0.105205889091916,0.193027451072509,0.000302517886859661,1.61280793639229,0.00320366319807915,2.76866305860481,0.00454232795055267,129.94750873596,0.163766928575894,2.4586375321762,0.00040861419292989,195851,314,195851
"I",49,4.23310459262193,0.0422545386701539,1.54259705633828,0.0538367578080715,2.46189323097768,0.0322944530536314,5.31981102980971,0.00588744002338565,0.030643773895472,0.000494142914308857,0.060594149234921,0.00102665547472397,0.267136763130387,0.000140418137013294,0.835721394840696,0.00038136712331904,148974.181506318,181.45233403132,1.45654007931962,0.00136774724007107,0.49734444065028,0.000476250408489495,3.21202553484971e-06,3.49742058120659e-09,9.39459847539639e-06,1.00184185263712e-08,7.00522199775408e-07,7.39440969602206e-10,2.05021144737954e-06,2.12010827573507e-09,3.24314442891534e-06,8.00538904944419e-09,1.11113146606554e-05,2.02706486685859e-08,2.36139745320869e-06,4.04501824445148e-09,0.305127717304785,0.000257807584794467,-0.0821428439422697,5.38063878323837e-05,0.157343815828993,0.00024654131299751,0.0042166935868476,3.49656468771104e-06,0.467640746161933,0.000323326799215112,0.154641784815129,0.000116496400651072,54.3625914406584,0.0396376797196291,1.31667478951723e-08,1.27085968104271e-11,4.64997259967609e-06,4.5638161225839e-09,2.12424130236275e-05,2.11759416892161e-08,63.3969473651575,0.0981915043149426,0.180789634608361,0.000287782783405335,1.47163959319928,0.00351447080050236,2.61809857707452,0.0051385830726719,137.167234198975,0.217366061803662,2.45792118989921,0.000500117604228802,165116,99,165116
"I",65,4.17247034410233,0.0414876980737079,1.49509608296127,0.0373187243708859,2.45359635304826,0.0238483299530178,5.48872227597955,0.00394321398462455,0.0293968004902244,0.000304450179759564,0.0579899421663057,0.000629177376013601,0.269220189651498,0.000103033548390959,0.846025508851899,0.00024802602633564,151549.229608847,118.162594016605,1.45815033712232,0.00120234759189799,0.498115615637498,0.000416570941535837,3.00382745795411e-06,2.74044350980714e-09,8.79110149467687e-06,7.91249545493849e-09,6.64964700417305e-07,6.03765027432883e-10,1.94613453522537e-06,1.74228463173472e-09,3.1549331399946e-06,5.37875743738523e-09,1.0561418812e-05,1.43523457267827e-08,2.29164084324694e-06,3.02999932402368e-09,0.309203453794147,0.000174482976167216,-0.0836851290729549,3.83296392666e-05,0.156224716433035,0.00018571812339563,0.00435792272585772,3.24216200822883e-06,0.459683434933747,0.000242285261075399,0.149068149010803,8.67714945307931e-05,51.8995424153046,0.028464764643159,1.28595678276228e-08,1.02381115378609e-11,4.49878990383061e-06,3.64111373985022e-09,2.03521410086197e-05,1.68939356368881e-08,59.4402675257037,0.0581745266624705,0.170586611332254,0.000177109905247249,1.46131069660898,0.00256547595279899,2.75137853325549,0.00381150234111923,139.340812117561,0.171827679661691,2.44210823822862,0.000392277103007938,197784,247,197784
"I",81,4.05631556434016,0.0405584868977282,1.28599658536334,0.0461267425799606,2.53762230661608,0.0197093745562424,5.65438924192889,0.00357592014152912,0.0318936362952715,0.000419037644637726,0.0628520844864749,0.000851842256527927,0.267424023300359,9.49182686002936e-05,0.856061411241177,0.000224671889436267,147556.313391873,107.092047042019,1.42979460276031,0.00116919191785565,0.491834508154987,0.000407467306322349,2.97898782524603e-06,2.76728662047879e-09,8.65986312083377e-06,7.96248995448147e-09,6.46720063908884e-07,5.66658903079903e-10,1.87985990548982e-06,1.6264311305807e-09,3.25052780701108e-06,5.1997066198371e-09,1.08118270804677e-05,1.35883556095969e-08,2.28375822788509e-06,2.70329661765193e-09,0.306091213345986,0.00014911015779141,-0.0836388732169189,3.63043558503999e-05,0.161166261801372,0.000178005227238302,0.00448817327817006,3.36857160529377e-06,0.466971650682726,0.000259144602069251,0.1498082154872,8.72658375339998e-05,50.5096533799751,0.0273921973046074,1.2975609272296e-08,1.08508508792485e-11,4.4062808345463e-06,3.79974728184235e-09,2.032613236436e-05,1.87582821208252e-08,58.0401418727285,0.0529654472144698,0.173451924663542,0.000169298307909628,1.50353734720045,0.00238955374092464,2.73552273973162,0.00380296422349244,125.886886574683,0.155336317707132,2.43701891397933,0.000397039555187156,187360,124,187360
"I",97,4.25276649040088,0.031162395846945,1.58043972781876,0.0311438680913267,2.50018843475141,0.0156198362432507,5.4487825765238,0.00397077145986433,0.0293746912459794,0.000236252049552093,0.0584050878032781,0.000477161186879009,0.264296963184537,0.000103616967885366,0.850377778378073,0.000254781043590425,144905.351855837,113.153629103429,1.3128788645921,0.00110719448679907,0.453299297807874,0.000385622417933711,2.89028922939114e-06,2.84744112882584e-09,8.3716157064919e-06,8.2022138258117e-09,6.40164742930205e-07,5.72730859315751e-10,1.8542079238215e-06,1.64669422126371e-09,3.03541271711958e-06,5.77839796910071e-09,1.01791890119258e-05,1.48142202729568e-08,2.25490879937833e-06,2.94654865158205e-09,0.304650710380751,0.000175611753326267,-0.0845397593735601,4.03454435672258e-05,0.161119870628375,0.00020214791614112,0.00440840083311882,3.44189871105881e-06,0.494556013210461,0.000337909160287102,0.154833933849038,0.000110567389631721,50.2685868723829,0.0353832101999728,1.33444209416929e-08,1.30512884997233e-11,4.36614061494431e-06,4.44133142373509e-09,1.97931308988603e-05,2.20934883711434e-08,59.3289562396179,0.0771517385315808,0.185771453284527,0.000240632324633635,1.3765876615377,0.00259280481319663,2.39647935447706,0.00430020215809547,149.155468634042,0.167716814826536,2.38922752142054,0.000345967834673271,185951,285,185951
"I",113,4.10880691156683,0.0285917498193399,1.47574931378177,0.0250039282007796,2.4339305361993,0.0144824808521325,5.46779002453894,0.00231472868074316,0.0290003453697307,0.000189937451296133,0.0572463167364608,0.000390347926375935,0.257223967496303,6.96979949415298e-05,0.86027933329955,0.00014862972148431,148593.229309991,79.459245790839,1.29151094123871,0.000907828902258963,0.445755488410743,0.000316410121681993,2.81418860910824e-06,2.29134398333416e-09,8.15188518600137e-06,6.58115556753691e-09,6.06872398088347e-07,4.55438345174786e-10,1.75815375584284e-06,1.30698344230025e-09,2.98252016332561e-06,3.60268509004507e-09,1.02863939846359e-05,9.77822069961844e-09,2.24561913791177e-06,1.94185839714492e-09,0.295152150409546,9.54060488575888e-05,-0.0867333933355091,2.71251072738656e-05,0.161265078411227,0.000147184684029497,0.00472136229020425,3.16805989109518e-06,0.481621704090171,0.000233531160113625,0.144034332209609,6.82298525828734e-05,44.988336765514,0.0198273601465275,1.37057577876032e-08,1.07189480682068e-11,4.32532440238747e-06,3.61848840299888e-09,2.0038765455751e-05,1.76567592654005e-08,52.2311669036038,0.0326248805913273,0.171314461256912,0.000113844445711274,1.44842267506265,0.00152280497501916,2.56285899798267,0.00278497747790918,130.47566723608,0.157146705732487,2.39911417612137,0.00032246803939052,212630,451,212630
"I",129,4.14079646121492,0.028423860734302,1.51027473914489,0.0225206833347533,2.44520305418269,0.0140326028263779,5.32942891494611,0.00223980473859607,0.0290426474327307,0.000178961542196196,0.0573716278759122,0.000357941205407022,0.252383050132924,6.84243547815291e-05,0.862466246589609,0.000137441871805793,147303.297540751,72.3149141927158,1.27672998711374,0.000936202775020122,0.441314760305684,0.000328250866489402,2.81896433695732e-06,2.35874205210915e-09,8.15050251694531e-06,6.71940622354145e-09,6.25948113265207e-07,4.95746397239404e-10,1.81052333249755e-06,1.41406440667344e-09,2.94755518272937e-06,3.68610139044979e-09,1.05503673031013e-05,1.06683312701675e-08,2.35053522439661e-06,2.17199638881183e-09,0.287963083967901,8.87233610326644e-05,-0.0863668293663876,2.81910701985373e-05,0.159712421593059,0.000160826882777911,0.00488059493510146,3.41129511330844e-06,0.501964478817801,0.0002856474847439,0.149579221351026,8.47948525696195e-05,44.9875375833198,0.025699482014665,1.43327183672856e-08,1.21910836486647e-11,4.34640161071421e-06,3.92085112086656e-09,1.95554949954794e-05,1.808735798211e-08,51.2463634660304,0.0365613041352532,0.17573442776261,0.000125461844122085,1.44614122172809,0.00157044387217616,2.46122450835168,0.00283811258415461,116.167239697066,0.186984600657271,2.44687977115179,0.000424382381668773,206538,631,206538
"I",145,4.13905057122923,0.0213981371200392,1.4504709654024,0.0191947307990877,2.4837100566759,0.0116532595259808,5.31254165883038,0.0019022272881548,0.0298223460675718,0.000161721863658947,0.0586883888033404,0.000327983535622712,0.248414431388894,6.13520870561446e-05,0.865536540417356,0.000119508332261432,167567.218777971,63.1900154068325,1.28723820533204,0.000867360660229791,0.442252215666134,0.000302837354058951,2.4957692914061e-06,2.01137154234277e-09,7.25759326755451e-06,5.74398133840467e-09,5.92227659339283e-07,4.45061959470694e-10,1.72273181715919e-06,1.27101343596455e-09,2.58931458029185e-06,2.71328192891315e-09,9.45523301159877e-06,7.90105082397645e-09,2.26533285243792e-06,1.75467682074031e-09,0.282653381071637,7.49620497064425e-05,-0.0874547147514934,2.38033361364928e-05,0.155720529710856,0.00014974964969535,0.00516591497936813,3.24841656434135e-06,0.53086625420591,0.000275083823373268,0.153634475700575,7.51334285408278e-05,44.8254650112432,0.0208791274297885,1.35579921953614e-08,1.08955864329594e-11,4.01049519717555e-06,3.50475624547028e-09,1.6888404621561e-05,1.53716894513093e-08,52.1455586872266,0.0297973157086831,0.183966121613732,0.000106989015752992,1.48104809742367,0.00125492902885661,2.35850332609179,0.00230034094910159,85.3416017652594,0.174365981686378,2.58320457439995,0.00054314110730571,221117,697,221117
