"region","truedate","mean_sif743_corj","se_sif743_corj","mean_sif743j","se_sif743j","mean_sifparj","se_sifparj","mean_sifsparj","se_sifsparj","doymin","ndsif"
"all",2019-01-01,0.498117289070334,0.00051085093762068,1.42713765727657,0.00139914593509328,5.88137923694566e-07,7.63209831123638e-10,1.68806763257332e-06,2.15047929194442e-09,1,140186
"all",2019-01-17,0.505833510366191,0.000477164601670963,1.46273733533438,0.00133480432664453,5.97972351817891e-07,7.28230154607154e-10,1.73233329653134e-06,2.08916686739622e-09,17,143276
"all",2019-02-02,0.510691209789092,0.000508957003369732,1.488378425877,0.0014422344541365,6.00926905967458e-07,8.24744228825561e-10,1.75302284319681e-06,2.37661941942666e-09,33,130011
"all",2019-02-18,0.466062791955786,0.000473382338068894,1.36289395399273,0.00135290723165515,5.34220286795352e-07,7.2626514163308e-10,1.56212415153912e-06,2.09761791925722e-09,49,145965
"all",2019-03-06,0.469689279561515,0.00046964239510913,1.37301900079876,0.00135580172572193,5.56607087165057e-07,7.68437503941016e-10,1.62718914290591e-06,2.23865995962879e-09,65,145334
"all",2019-03-22,0.455040069302002,0.000447160231479097,1.32045870112941,0.00127840423868054,5.31938322885771e-07,7.53832301521096e-10,1.54441572670865e-06,2.17427834133771e-09,81,138784
"all",2019-04-07,0.408686437501764,0.000382265739736169,1.18327864018721,0.00109759732296008,4.91713804899598e-07,5.80821384241606e-10,1.42387571320317e-06,1.67401486192185e-09,97,148306
"all",2019-04-23,0.432412752660523,0.000345384830545338,1.25085899888989,0.000987348361813068,5.2974637282161e-07,5.81976817575541e-10,1.53253290353565e-06,1.67451772062742e-09,113,161720
"all",2019-05-09,0.401347067522057,0.00040609680009326,1.16483123027986,0.00116809335684381,5.11684430838805e-07,6.76877610844603e-10,1.48548867317075e-06,1.95734338692195e-09,129,128604
"all",2019-05-25,0.43143072185476,0.000384607721611865,1.25496337280661,0.00110517145773907,5.6577234686742e-07,6.74134270051173e-10,1.64636578724338e-06,1.95053952663096e-09,145,139105
"all",2019-06-10,0.426123647800116,0.000343197331517544,1.24957044781112,0.000989144508981178,5.36133220364839e-07,5.6483500572415e-10,1.57180750541435e-06,1.62828878615252e-09,161,152078
"all",2019-06-26,0.431803272217454,0.000380692061181518,1.27209725509673,0.00110156401057857,5.43104508137589e-07,6.37016850623942e-10,1.60079485978922e-06,1.86069955449727e-09,177,145705
"all",2019-07-12,0.443788696103527,0.000356334184308403,1.31062787306323,0.0010404487485493,5.42148755462296e-07,6.26374635958441e-10,1.60162663362312e-06,1.8412171293845e-09,193,158831
"all",2019-07-28,0.439104190589288,0.000332654752319104,1.29171808068686,0.000974116969778069,4.98077516976457e-07,4.67384232787056e-10,1.4644517085398e-06,1.35802350596801e-09,209,162877
"all",2019-08-13,0.433139635782613,0.000331349401552669,1.26503613534372,0.000959092654664186,4.87538909478316e-07,4.78197216657669e-10,1.42358331001624e-06,1.38219430458773e-09,225,173192
"all",2019-08-29,0.457982360654572,0.000326656881739536,1.32043309850389,0.000936916562981444,4.91065847603506e-07,4.61036167248002e-10,1.4158713454339e-06,1.3258823680007e-09,241,179439
"all",2019-09-14,0.473716046095648,0.000344854084638576,1.34433883375596,0.000973338621902196,4.86927500507628e-07,4.26404661477351e-10,1.38200546293771e-06,1.20839832449315e-09,257,181008
"all",2019-09-30,0.50917989130724,0.000400893026735256,1.42358850552327,0.00109968493538669,5.65014816565726e-07,6.61362996662564e-10,1.57940824212952e-06,1.8264932484434e-09,273,165678
"all",2019-10-16,0.532646407887305,0.000405149442489663,1.47312204761292,0.00109255498534419,5.89819118366337e-07,6.18509823841607e-10,1.63242937345718e-06,1.6977219411093e-09,289,173626
"all",2019-11-01,0.530091515052993,0.000655619909904042,1.45935287533791,0.00173506114002008,5.93783407540523e-07,9.0691455610839e-10,1.63702689706533e-06,2.45547057929263e-09,305,102432
"all",2020-01-01,0.513689140384916,0.000448425493435549,1.47385251642921,0.00123431816175745,5.71618968811241e-07,6.41610941101169e-10,1.64189085265312e-06,1.80150680878028e-09,1,169477
"all",2020-01-17,0.525962018548475,0.00044153692412258,1.52325418758269,0.00123057632894476,5.93525662030761e-07,6.10131077768304e-10,1.72190565217844e-06,1.75031808679025e-09,17,167076
"all",2020-02-02,0.519324721086682,0.000459276582210603,1.51501644861796,0.00129756394719047,5.93073824206969e-07,7.0414871225245e-10,1.72975748335206e-06,2.01602096546158e-09,33,167011
"all",2020-02-18,0.480684478337021,0.000452931265825454,1.40610244466338,0.00129706596057483,5.51369608669141e-07,7.02707280133295e-10,1.61259189455233e-06,2.02649809917349e-09,49,156628
"all",2020-03-05,0.471041401518508,0.000451871433484424,1.3756028172591,0.00129797082592675,5.36000215979163e-07,6.42226209136999e-10,1.56578343388636e-06,1.85789307476029e-09,65,147928
"all",2020-03-21,0.493566427871837,0.000434383389032487,1.43645052721509,0.0012482565622221,5.79293850212767e-07,7.11507687840064e-10,1.68636226149204e-06,2.06457554257183e-09,81,157344
"all",2020-04-06,0.467690002892845,0.000415970702697918,1.35780115511175,0.00119566481156789,5.66394235314757e-07,6.66640015243197e-10,1.6440310204386e-06,1.9215940667942e-09,97,153395
"all",2020-04-22,0.439418201908073,0.000370969976057511,1.27287652274543,0.00107076797793774,5.64472868278141e-07,7.51105937488113e-10,1.63579494082908e-06,2.17818677463635e-09,113,158974
"all",2020-05-08,0.444543109807177,0.000393823328995126,1.28458080709285,0.00112132440708406,5.68207324127086e-07,6.47548764087095e-10,1.64194966233404e-06,1.85518682639783e-09,129,160361
"all",2020-05-24,0.432006901651399,0.000381544670812724,1.25770244315461,0.00109745157930119,5.54128168494187e-07,6.38131414731385e-10,1.61282882782653e-06,1.84240135222389e-09,145,147859
"all",2020-06-09,0.434243445934672,0.000345706451504479,1.27167979864329,0.0009959387483235,5.50397292981211e-07,5.87164558504444e-10,1.61160508731817e-06,1.69769313205847e-09,161,161137
"all",2020-06-25,0.42263745048195,0.000355298101478487,1.24318070937524,0.00102937649189622,5.43187460619676e-07,5.74897194090939e-10,1.59838511404965e-06,1.67787989901484e-09,177,162422
"all",2020-07-11,0.437025366106661,0.000348765491489096,1.29047040167912,0.00101549142687984,5.15776554479353e-07,5.24022317258394e-10,1.52303482702887e-06,1.52612244444088e-09,193,162561
"all",2020-07-27,0.440104154675819,0.000358379227299445,1.29610809942833,0.00104756858803986,4.94514620806824e-07,5.29795404008682e-10,1.45570789923372e-06,1.54275143701295e-09,209,154041
"all",2020-08-12,0.443853571005664,0.000382306551573865,1.2920969984188,0.00110097871926148,4.89591798164268e-07,5.9884655948877e-10,1.42646659004899e-06,1.74449243197552e-09,225,150579
"all",2020-08-28,0.437341353696989,0.000392659707863263,1.26384632742795,0.00112466344116907,4.79964101428169e-07,6.0463009132413e-10,1.38679171250786e-06,1.74208247667283e-09,241,150066
"all",2020-09-13,0.47246041350709,0.000419458024620725,1.34636659178514,0.00118144404889962,4.97266654112782e-07,6.45562033788663e-10,1.41654266216843e-06,1.82274277201878e-09,257,139921
"all",2020-09-29,0.503055964650368,0.000376400380341221,1.40955224710467,0.00104476744899235,5.02271471641153e-07,4.55342096240353e-10,1.40779951728508e-06,1.27509317278038e-09,273,162410
"all",2020-10-15,0.568680162783198,0.000475345973192917,1.58042319820697,0.0012834438401697,6.33177189187431e-07,7.85318614027002e-10,1.75925406202531e-06,2.14566695128638e-09,289,142433
"all",2020-10-31,0.58259328829708,0.000524411709588285,1.61178716754992,0.0013991552816749,6.47436393813184e-07,8.17495044442898e-10,1.79161001339038e-06,2.21329626487537e-09,305,134139
"all",2020-11-16,0.564645779285733,0.000528647560625993,1.5658209304596,0.001421377273075,6.23514702352111e-07,7.24737425119089e-10,1.73268968967281e-06,1.99861407858842e-09,321,143648
"all",2020-12-02,0.560008709198553,0.000546704743440648,1.56768926751676,0.00145660490940362,6.32147002061751e-07,7.58901595485923e-10,1.77246981697475e-06,2.08339095129001e-09,337,141646
"all",2020-12-18,0.56775152338072,0.000601787722024331,1.60451481684159,0.00161086254038089,6.38297548865803e-07,8.32938516646591e-10,1.80890810831619e-06,2.33285691514486e-09,353,124411
"all",2021-01-01,0.577893467158615,0.000615659030588284,1.65229018661267,0.00168248246119199,6.51086616488342e-07,8.64889029310513e-10,1.86712034422166e-06,2.46477494297946e-09,1,112368
"all",2021-01-17,0.604104151907793,0.00124321225970735,1.73548852073349,0.00343887780812424,6.72511499580223e-07,1.71775307092438e-09,1.9359089135823e-06,4.91966421618684e-09,17,34135
"all",2021-02-02,0.530148181300051,0.000604964913391611,1.55281572692241,0.00171663533058825,5.98036748247852e-07,9.23005058447417e-10,1.75267714206643e-06,2.66907128186076e-09,33,102606
"all",2021-02-18,0.498207912709688,0.000815315922706235,1.46144940671494,0.00234501546037314,5.60536988861606e-07,1.27409375642017e-09,1.64334962966359e-06,3.67117952585267e-09,49,57703
"all",2021-03-06,0.540606687753413,0.000648286620906061,1.57775204893309,0.00185695147914911,6.11628761194945e-07,1.14341131358508e-09,1.78514712403896e-06,3.30661639889667e-09,65,92726
"all",2021-03-22,0.456709456552155,0.000654543271150356,1.32903111390036,0.0018840288786719,5.38730447140763e-07,1.07106548489921e-09,1.56692604046849e-06,3.08449632419176e-09,81,69910
"all",2021-04-07,0.426316840602767,0.000522514533769376,1.23650259368364,0.0014966413163934,5.03668285766072e-07,8.13039675638122e-10,1.46104454792891e-06,2.35043089645508e-09,97,98293
"all",2021-04-23,0.418329342809933,0.000459380500307805,1.21449646085854,0.00132051733117743,4.94739955330912e-07,7.10872876130544e-10,1.43568021161432e-06,2.04439351226452e-09,113,103949
"all",2021-05-09,0.429018224332468,0.00040683440631018,1.24314137703769,0.00116480044373063,5.49026295802325e-07,7.39751095068342e-10,1.59141568448675e-06,2.13391570844389e-09,129,129324
"all",2021-05-25,0.420682326749014,0.000375317947741563,1.22587356054077,0.00107773291520898,5.15040802301462e-07,5.68211739781095e-10,1.50128139079239e-06,1.63960339865568e-09,145,137480
"all",2021-06-10,0.429158412972583,0.000379522946859205,1.25939394742244,0.00109518803821087,5.38518960679139e-07,6.37083171307041e-10,1.58042771185944e-06,1.84886043025995e-09,161,141805
"all",2021-06-26,0.434262000901002,0.000367831849020425,1.28391859201851,0.00106513380481583,5.2420911658708e-07,5.53595448506835e-10,1.54960554372503e-06,1.60533883941114e-09,177,141639
"all",2021-07-12,0.444770497018623,0.000363366276488648,1.31557945572607,0.00105474592240328,5.21140318534679e-07,5.38069764419907e-10,1.54115221365306e-06,1.56245958133014e-09,193,152593
"all",2021-07-28,0.448805491341802,0.00038005186619862,1.3224286340648,0.00110837399475261,5.08861207740989e-07,5.73584949073067e-10,1.49887538827593e-06,1.66803581663951e-09,209,140547
"all",2021-08-13,0.446146704157282,0.000427864034050523,1.30621251830179,0.00123925370718802,4.81166831667372e-07,5.52947193449368e-10,1.40896017196579e-06,1.60618562372211e-09,225,138473
"all",2021-08-29,0.49462770491119,0.000453352331294955,1.42842897436224,0.00129243883079277,5.4118565718846e-07,6.74146987257764e-10,1.56367980882562e-06,1.94791680611434e-09,241,136512
"all",2021-09-14,0.493169082871782,0.000416652354791731,1.40715937908077,0.0011737115738855,5.25263701507449e-07,7.17558398016265e-10,1.49780179518592e-06,2.02705870125346e-09,257,144378
